Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,464629985,8.70,10,,5,10,10,10,10,10,10,5,10,10,10,10,9
tuf,192900,8.16,10,,10,10,10,0,10,10,10,4,10,10,8,10,10
requests,385781127,7.51,10,,0,10,10,10,10,10,,10,9,10,0,10,10
in-toto,173181,7.43,10,,10,10,10,0,9,10,10,4,0,10,6,10,10
numpy,224195925,7.05,10,,0,10,10,10,9,10,,3,9,9,0,10,10
google-re2,5979860,7.03,10,0,0,10,10,10,10,10,10,0,0,10,0,10,10
charset-normalizer,328506796,6.97,10,,0,0,10,10,10,10,10,4,10,10,,10,10
pillow,87005506,6.89,10,0,2,8,10,10,9,10,10,0,0,10,,10,10
pem,444539,6.89,10,,5,0,10,10,10,10,10,0,10,10,,10,10
pyhanko,691196,6.86,10,,0,1,10,0,10,10,10,0,10,10,8,9,10
aiohttp,99608241,6.84,10,,0,4,10,10,9,10,10,0,9,10,8,0,10
flatbuffers,15352964,6.84,8,,0,5,10,10,10,10,10,0,7,10,10,10,0
pybind11,7209029,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
pybind11-global,106298,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
matplotlib,54782736,6.78,10,,0,10,10,10,9,10,10,1,10,10,,0,10
yt-dlp,1759415,6.78,10,,0,7,10,0,9,10,10,0,10,0,8,9,10
functions-framework,2494409,6.76,10,,0,10,10,0,10,10,10,5,10,0,,10,10
openexr,130371,6.76,10,,5,7,10,10,10,10,,0,10,10,8,0,10
sentencepiece,13385784,6.73,10,0,0,1,10,10,10,10,,8,4,10,4,10,10
cryptography,230994667,6.68,10,,0,10,10,10,9,10,,4,0,10,,10,10
botocore,522672231,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
trufflehog,91798,6.65,9,,0,10,10,0,10,10,10,0,10,9,8,0,9
twine,5015618,6.62,7,,0,4,10,0,10,10,10,1,10,0,10,10,10
certifi,354125620,6.57,10,3,0,5,10,0,9,10,10,5,0,10,,10,10
tables,948519,6.57,10,0,0,8,10,10,10,10,,6,0,10,0,10,9
django-axes,334990,6.54,10,0,0,5,10,0,10,10,10,0,10,10,,9,10
coverage,64850424,6.49,10,,5,1,10,10,10,10,,1,10,10,,10,10
keras,15430157,6.46,10,,0,4,10,10,10,10,10,0,0,10,,9,10
keras-nightly,378995,6.46,10,,0,4,10,10,10,10,10,0,0,10,,9,10
markupsafe,148845025,6.43,10,,0,0,10,10,10,10,10,5,0,9,10,0,10
google-cloud-secret-manager,16912464,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-appengine-logging,13044019,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-resource-manager,8915172,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-vision,5169289,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataproc,4677538,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-kms,4546619,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-monitoring,4541335,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dlp,4183946,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-tasks,3949120,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-container,3722462,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-datacatalog,3717714,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-bigquery-datatransfer,3442406,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-build,3439354,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-language,3427234,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-videointelligence,3389265,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-compute,3343939,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-redis,3124777,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-automl,3096657,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-workflows,3070946,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-translate,2976512,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataplex,2893241,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-os-login,2759450,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-memcache,2714835,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataproc-metastore,2620596,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-orchestration-airflow,2573730,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-speech,2511946,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-texttospeech,2359400,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataform,2276745,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataflow-client,1667702,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-recommendations-ai,1471981,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-batch,1273612,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-storage-transfer,1251190,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-run,1225652,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-trace,806691,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-analytics-data,647320,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-analytics-admin,549977,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-iam,377857,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-filestore,357666,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-common,354835,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-scheduler,319583,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-ai-generativelanguage,316284,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-os-config,307488,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-appengine-admin,230941,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-certificate-manager,229315,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-private-ca,227203,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-functions,219258,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-recaptcha-enterprise,200709,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-artifact-registry,169363,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-documentai,157963,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-asset,113989,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-billing,109364,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-retail,96506,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-notebooks,74282,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-quotas,72567,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-bigquery-datapolicies,67001,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
