Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,833449934,9.05,10,8,5,8,10,10,10,10,10,7,10,10,6,10,10
in-toto,41566,7.84,10,8,10,10,10,0,9,10,10,4,0,10,3,10,10
umf,168702,7.73,10,5,0,10,10,10,9,10,,7,9,10,,10,10
tuf,106222,7.68,10,8,10,,10,0,10,10,10,4,10,10,4,10,10
attrs,341585495,7.59,10,,5,3,10,10,10,10,10,10,10,10,,9,10
xclim,128137,7.54,10,5,5,7,10,0,10,10,10,10,10,10,,10,6
mkl-service,43084,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
mkl-fft,36215,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
sigstore-protobuf-specs,100773,7.51,10,,0,10,10,0,10,10,10,8,8,10,6,9,7
ops,663587,7.46,10,4,0,10,10,0,10,10,10,2,10,10,,10,10
ops-scenario,164733,7.46,10,4,0,10,10,0,10,10,10,2,10,10,,10,10
tbb,518433,7.41,10,,2,10,10,10,10,10,,6,10,10,0,10,10
tbb-devel,59362,7.41,10,,2,10,10,10,10,10,,6,10,10,0,10,10
aiobotocore,513098254,7.32,10,,0,10,10,0,10,10,10,8,9,10,,9,10
astropy,2649468,7.30,10,8,0,10,10,0,10,10,,6,7,10,,10,10
requests,739878617,7.27,10,,0,10,10,10,10,10,,7,9,10,0,10,9
coverage,153411844,7.22,10,,5,0,10,10,10,10,10,6,10,10,,10,10
twine,21170832,7.19,8,,0,10,10,0,10,10,10,1,10,0,10,10,10
geoip2,8068705,7.19,10,6,0,10,10,0,10,10,10,5,9,0,,10,10
pyhanko,3346493,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
pyhanko-certvalidator,1894819,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
west,1153969,7.16,10,6,0,9,10,0,10,10,10,6,9,0,0,10,10
pylint,33073167,7.11,10,8,5,10,10,0,10,10,10,0,10,9,0,9,3
gdal,226755,7.08,10,,5,0,10,10,9,10,10,8,10,9,8,10,0
pydata-sphinx-theme,1992423,7.05,10,4,0,10,10,0,10,10,10,9,10,0,,9,8
