Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,509698409,8.78,10,,5,10,10,10,10,10,10,5,10,10,10,10,10
openexr,120831,8.51,10,,5,7,10,10,10,10,10,9,10,10,8,9,10
tuf,150189,7.84,10,,10,10,10,0,10,10,10,4,10,10,4,10,10
charset-normalizer,386918762,7.65,10,,0,5,10,0,10,10,10,4,10,10,10,10,10
flatbuffers,18286601,7.65,10,,0,6,10,10,10,10,10,0,7,10,8,10,9
gdal,198510,7.65,9,,5,2,10,10,9,10,10,3,9,9,8,10,10
requests,469419538,7.57,10,,0,10,10,10,10,10,,10,10,10,0,10,10
google-re2,4463657,7.27,10,0,0,10,10,10,10,10,10,0,0,10,3,10,10
urllib3-future,59737,7.24,10,,0,0,10,0,10,10,10,4,10,10,10,10,10
niquests,57815,7.24,10,,0,0,10,0,10,10,10,4,10,10,10,10,10
in-toto,57191,7.19,10,,10,10,10,0,9,10,10,4,0,10,3,10,10
sentencepiece,21093842,7.11,10,0,0,5,10,10,10,10,,8,5,10,4,10,10
pillow,89314435,6.97,10,0,2,9,10,10,9,10,10,0,0,10,,10,10
google-cloud,4403158,6.97,10,,0,10,10,10,10,10,,0,9,10,,10,10
pyhanko,1057412,6.95,10,,0,0,10,0,10,10,10,0,10,10,10,9,10
typing-extensions,388882818,6.92,10,,0,9,10,10,9,10,10,0,0,10,,10,10
google-cloud-secret-manager,23798130,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-resource-manager,16746231,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-appengine-logging,15975740,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-kms,9546991,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-dlp,9391593,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-vision,9339529,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-monitoring,9165947,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-dataproc,9144609,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
google-cloud-tasks,8420750,6.92,10,,0,10,10,10,10,10,,0,8,10,,10,10
