Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,494985872,8.78,10,,5,10,10,10,10,10,10,5,10,10,10,10,10
openexr,213581,8.51,10,,5,7,10,10,10,10,10,9,10,10,8,9,10
tuf,168485,7.84,10,,10,10,10,0,10,10,10,4,10,10,4,10,10
gdal,212500,7.73,9,,5,3,10,10,9,10,10,3,9,9,8,10,10
charset-normalizer,366614072,7.65,10,,0,5,10,0,10,10,10,4,10,10,10,10,10
requests,423152996,7.57,10,,0,10,10,10,10,10,,10,10,10,0,10,10
flatbuffers,18016168,7.41,8,,0,4,10,10,10,10,10,0,7,10,8,10,10
in-toto,114969,7.19,10,,10,10,10,0,9,10,10,4,0,10,3,10,10
google-re2,5051801,7.11,10,0,0,10,10,10,10,10,10,0,0,10,1,10,10
numpy,245757478,7.05,10,,0,10,10,10,9,10,,3,9,9,0,10,10
sentencepiece,21271891,7.03,10,0,0,4,10,10,10,10,,8,5,10,4,10,10
pillow,88756600,6.97,10,0,2,9,10,10,9,10,10,0,0,10,,10,10
pyhanko,912355,6.95,10,,0,0,10,0,10,10,10,0,10,10,10,9,10
aiohttp,101796557,6.89,10,,0,4,10,10,9,10,10,0,10,10,8,0,10
twine,5594496,6.86,7,,0,7,10,0,10,10,10,1,10,0,10,10,10
typing-extensions,376904659,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
matplotlib,59187475,6.84,10,,0,10,10,10,9,10,10,2,10,10,,0,10
yt-dlp,2117975,6.78,10,,0,7,10,0,9,10,10,0,10,0,8,9,10
pybind11,8954821,6.76,10,,0,7,10,10,9,10,10,0,0,10,,10,10
pybind11-global,148726,6.76,10,,0,7,10,10,9,10,10,0,0,10,,10,10
cryptography,238100238,6.68,10,,0,10,10,10,9,10,,4,0,10,,10,10
botocore,590878309,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
keras,17360919,6.62,10,,0,6,10,10,10,10,10,0,0,10,,9,10
keras-nightly,331943,6.62,10,,0,6,10,10,10,10,10,0,0,10,,9,10
functions-framework,3119515,6.59,10,,0,8,10,0,10,10,10,5,10,0,,10,10
pycep-parser,881377,6.59,10,,0,0,10,0,10,10,10,7,10,10,,10,10
coverage,75326827,6.57,10,,5,2,10,10,10,10,,1,10,10,,10,10
aiosmtpd,186574,6.54,10,,0,6,10,0,10,10,10,0,10,10,8,0,10
markupsafe,150787055,6.51,10,,0,1,10,10,10,10,10,5,0,9,10,0,10
keras-nlp,158508,6.51,10,,0,6,10,0,10,10,10,1,7,10,,9,10
trufflehog,104623,6.51,9,,0,10,10,0,10,10,10,0,9,9,8,0,8
newrelic,2966555,6.49,10,,0,10,10,0,10,10,10,6,9,10,,0,10
tbb,789125,6.49,10,,0,10,10,10,10,10,,0,0,10,0,10,10
jinja2,148784907,6.46,10,,0,1,10,10,10,10,10,4,0,9,10,0,10
idna,372286057,6.43,10,,0,4,10,10,10,10,,3,5,10,0,10,10
pyarrow,110373831,6.43,10,,0,9,10,10,10,10,10,1,0,10,,10,3
pydot,5410381,6.43,10,,0,6,10,0,10,10,,7,8,10,,10,10
google-cloud,4313871,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
certifi,380252882,6.41,10,3,0,3,10,0,9,10,10,5,0,10,,10,10
structlog,13661266,6.41,10,,5,3,10,0,9,10,10,0,7,10,,10,10
click,170479662,6.38,10,,0,0,10,10,10,10,10,4,0,9,10,0,10
itsdangerous,69042624,6.38,10,,0,0,10,10,10,10,10,4,0,9,10,0,10
google-cloud-secret-manager,21367318,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-appengine-logging,14222116,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-resource-manager,13712096,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-vision,7141269,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-kms,6902952,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-dataproc,6892521,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-dlp,6672815,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-monitoring,6669880,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
flask-sqlalchemy,6406463,6.35,10,,0,5,10,0,10,10,10,6,0,9,10,0,10
google-cloud-tasks,6133869,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-datacatalog,5909841,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-container,5807828,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-language,5663451,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-videointelligence,5640208,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-bigquery-datatransfer,5586958,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-build,5508193,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-workflows,5299585,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-redis,5270433,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-automl,5242808,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-os-login,5059068,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-translate,4942309,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-memcache,4909291,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-dataplex,4745668,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-speech,4547370,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-texttospeech,4415577,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-dataproc-metastore,4408832,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-orchestration-airflow,4381443,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-compute,4357636,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-dataform,4043776,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-dataflow-client,2495335,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-run,1787111,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-recommendations-ai,1774530,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-storage-transfer,1763311,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-batch,1746132,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-trace,709348,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-analytics-data,683031,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-discoveryengine,660730,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-iam,536514,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-ai-generativelanguage,493849,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-os-config,387306,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-common,316992,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-filestore,316127,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-certificate-manager,295260,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-documentai,281240,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-scheduler,247246,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-artifact-registry,233182,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-private-ca,224449,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-cloud-asset,160690,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
google-analytics-admin,148091,6.35,10,,0,10,10,0,10,10,,0,9,10,,10,9
