Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,424262451,8.62,10,,5,9,10,10,10,10,10,5,10,10,9,10,10
tuf,90327,8.16,10,,10,10,10,0,10,10,10,4,10,10,8,10,10
charset-normalizer,294156155,7.70,10,,0,1,10,10,10,10,10,4,10,10,8,10,10
requests,324232670,7.57,10,,0,10,10,10,10,10,,10,10,10,0,10,10
flatbuffers,13705226,7.57,10,,0,7,10,10,10,10,10,0,7,10,9,10,6
numpy,182735272,6.97,10,,0,10,10,10,10,10,,,10,9,0,10,10
pyhanko,528512,6.86,10,,0,1,10,0,10,10,10,0,10,10,8,9,10
defusedxml,23482174,6.84,10,0,0,0,10,10,9,10,10,0,0,10,8,10,10
pybind11,7085990,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
pybind11-global,55338,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
functions-framework,2117761,6.76,10,,0,10,10,0,10,10,10,5,10,0,,10,10
red-discordbot,36488,6.70,10,8,0,8,10,0,10,10,10,0,10,10,,0,10
botocore,362439956,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
flask,95388955,6.62,10,,0,5,10,10,10,10,10,4,0,9,9,0,9
cryptography,194109328,6.59,10,,0,10,10,10,9,10,,4,0,10,,9,10
codespell,691129,6.59,10,,0,10,10,0,10,10,10,0,0,0,8,10,10
click,152120320,6.57,10,,0,1,10,10,10,10,10,6,0,9,10,0,10
aiohttp,80600755,6.57,10,,0,5,10,10,9,10,10,0,10,10,3,0,10
pyarrow,79587671,6.46,10,,0,9,10,10,10,10,10,,0,10,,10,4
twisted,3576973,6.46,10,,0,10,10,0,9,10,10,0,0,10,,10,10
markupsafe,128898145,6.43,10,,0,0,10,10,10,10,10,5,0,9,10,0,10
certifi,291789143,6.41,10,3,0,3,10,0,9,10,10,5,0,10,,10,10
coverage,67520303,6.41,10,,5,0,10,10,10,10,,1,10,10,,10,10
presidio-analyzer,151814,6.38,10,,0,8,10,0,10,10,,1,10,10,,10,10
presidio-anonymizer,90551,6.38,10,,0,8,10,0,10,10,,1,10,10,,10,10
attrs,114144549,6.35,10,,5,2,10,0,10,10,10,0,7,10,,10,10
google-re2,3720755,6.32,10,0,0,10,10,10,10,10,10,2,0,10,0,0,10
scapy,1958864,6.32,10,,0,8,10,10,10,10,,0,10,0,,10,10
jsii,1829002,6.32,10,,0,10,10,0,10,10,10,,0,10,8,0,10
django-axes,269977,6.30,10,0,0,2,10,0,10,10,10,0,10,10,,9,10
in-toto,119880,6.30,10,,10,10,10,0,9,10,,5,0,10,8,0,10
cachetools,97347977,6.27,10,0,0,4,10,10,10,10,,5,0,10,,10,10
google-cloud-secret-manager,13687279,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-appengine-logging,8083096,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-resource-manager,7827911,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-dataproc,3587543,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-container,3458645,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-dlp,3180543,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-datacatalog,3149259,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-build,2810139,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-bigquery-datatransfer,2388978,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-workflows,2239854,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-dataplex,2177488,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-redis,2090405,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-language,2056799,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-dataproc-metastore,1901968,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-orchestration-airflow,1780000,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-memcache,1677150,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-recommendations-ai,1627359,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-dataform,1313464,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-speech,926358,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-texttospeech,838877,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-analytics-data,538200,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-iam,318821,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
msgraph-core,310251,6.27,10,,0,10,10,0,10,10,10,1,10,10,,0,10
google-cloud-scheduler,207206,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-private-ca,199157,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-os-config,197089,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-certificate-manager,192689,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-batch,186832,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-artifact-registry,174064,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-recaptcha-enterprise,148946,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-functions,125722,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-billing,103422,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-notebooks,72524,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-documentai,70492,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-datacatalog-lineage,63503,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-ai-generativelanguage,55434,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-bigquery-reservation,46317,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
google-cloud-dialogflow-cx,43936,6.27,10,,0,10,10,0,10,10,,0,6,10,,10,10
matplotlib,40285045,6.24,10,,0,10,10,10,9,10,,1,10,10,,0,10
pycep-parser,739305,6.24,10,,0,1,10,0,10,10,10,9,,10,,10,10
boto3,895246471,6.22,10,,0,0,10,0,10,10,,10,10,10,,10,10
google-cloud,3941540,6.22,10,,0,10,10,0,10,10,,0,5,10,,10,10
argon2-cffi,11243021,6.19,10,,5,0,10,0,10,10,10,0,7,10,,10,10
tensorflow-io-gcs-filesystem,10134461,6.16,10,,0,2,10,0,10,10,10,5,1,10,,10,10
structlog,6115969,6.16,10,,5,0,10,0,9,10,10,0,7,10,,10,10
tensorflow-io,2668408,6.16,10,,0,2,10,0,10,10,10,5,1,10,,10,10
tables,675617,6.16,10,0,0,10,10,10,10,10,,0,0,10,0,10,6
black,23032014,6.14,10,,0,9,10,10,10,10,10,,0,10,0,0,10
ml-wrappers,112226,6.14,10,,0,9,10,0,10,10,10,0,10,10,,0,10
