Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,653184466,9.38,10,8,5,10,10,10,10,10,10,7,10,10,8,10,10
tuf,71498,8.49,10,8,10,10,10,0,10,10,10,4,10,10,4,10,10
xclim,120859,7.78,10,5,5,6,10,0,10,10,10,10,10,10,,10,10
umf,123894,7.65,10,5,0,10,10,10,9,10,,6,10,10,,10,9
openexr,218161,7.38,10,,5,7,10,10,10,10,10,9,10,10,3,0,10
gdal,370069,7.27,10,,5,3,10,10,9,10,10,8,9,9,8,10,0
coverage,93114156,7.24,10,,5,1,10,10,10,10,10,5,10,10,,10,10
twine,12345202,7.19,8,,0,10,10,0,10,10,10,1,10,0,10,10,10
pyhanko,3320337,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
clvm-rs,335397,7.19,10,6,0,10,10,10,10,10,10,0,10,9,,0,10
click,251124354,7.08,10,3,0,5,10,10,10,10,10,5,0,9,10,0,10
tbb,475789,7.03,10,,2,10,10,10,10,10,,0,9,10,0,10,10
tbb-devel,40682,7.03,10,,2,10,10,10,10,10,,0,9,10,0,10,10
typing-extensions,469419597,7.00,10,,0,10,10,10,9,10,10,0,0,10,,10,10
jinja2,238597088,7.00,10,3,0,4,10,10,10,10,10,5,0,9,10,0,10
trufflehog,102981,7.00,9,6,0,10,10,0,10,10,10,0,9,9,8,0,8
requests,567295788,6.97,10,,0,10,10,10,10,5,,8,10,10,0,10,9
geoip2,5639578,6.97,10,6,0,10,10,0,10,10,10,0,10,0,,10,10
mne,130324,6.92,10,,7,9,10,0,10,10,10,0,9,10,,8,10
cryptography,306168811,6.89,10,,0,10,10,10,9,10,10,4,0,10,,9,7
matplotlib,66427768,6.89,10,8,0,10,10,10,9,10,10,6,10,10,,0,0
cryptography-vectors,41202,6.89,10,,0,10,10,10,9,10,10,4,0,10,,9,7
yt-dlp,2443571,6.84,10,,0,8,10,0,10,10,10,0,9,0,8,9,10
flask-debugtoolbar,169671,6.84,10,8,0,10,10,0,10,3,10,6,0,9,10,0,10
red-discordbot,899758,6.78,10,8,0,9,10,0,10,10,10,0,10,10,0,0,10
niquests,134354,6.76,10,,5,3,10,0,10,10,10,4,9,10,10,10,0
google-re2,14843716,6.70,10,0,0,10,10,10,10,0,10,0,0,10,6,10,10
pycep-parser,1403716,6.70,10,,0,0,10,0,10,10,10,9,10,10,,10,10
cloud-sql-python-connector,1863533,6.68,10,,5,10,10,0,10,10,,6,8,10,,10,8
sigstore-protobuf-specs,69402,6.68,10,,0,10,10,0,10,10,10,8,6,10,6,0,7
chiavdf,234440,6.65,10,6,0,10,10,0,10,10,10,0,10,9,0,0,10
bigdl-nano,165667,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
ipex-llm,160285,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
bigdl-chronos,75605,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
bigdl-spark2,59781,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
bigdl-friesian,59695,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
bigdl-chronos-spark2,58098,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
bigdl-spark3,56805,6.62,10,,0,9,10,0,10,10,10,0,7,10,8,10,0
