Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions
onnx,16722444,8.56,10,8,7,10,10,10,10,10,10,5,10,10,,10
onnx-weekly,275181,8.56,10,8,7,10,10,10,10,10,10,5,10,10,,10
openexr,546278,8.53,10,,5,7,10,10,10,10,10,10,10,10,8,10
urllib3,1321128555,8.50,10,8,5,8,10,10,10,10,10,8,10,10,0,10
awslabs-aws-documentation-mcp-server,1015145,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-bedrock-kb-retrieval-mcp-server,409657,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-api-mcp-server,382030,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-location-mcp-server,323304,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-memcached-mcp-server,322585,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-billing-cost-management-mcp-server,175023,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-mcp-server,166727,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-pricing-mcp-server,164757,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-iac-mcp-server,108869,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-eks-mcp-server,69563,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-bedrock-agentcore-mcp-server,61450,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-dataprocessing-mcp-server,54638,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-redshift-mcp-server,48210,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
gdal,328672,7.97,10,,5,3,10,10,9,10,10,8,10,9,8,10
pylint,36820266,7.94,10,8,5,8,10,0,10,10,10,0,9,9,8,9
yt-dlp,10680052,7.85,10,8,0,7,10,0,10,10,10,9,10,0,8,10
haystack-ai,734469,7.85,10,8,5,10,10,10,10,10,10,4,0,10,,10
farm-haystack,56955,7.85,10,8,5,10,10,10,10,10,10,4,0,10,,10
idna,1256760661,7.82,10,,0,2,10,10,10,10,10,8,10,10,8,10
tuf,483899,7.82,10,8,10,5,10,0,10,10,10,4,10,10,3,10
langsmith,67739939,7.76,10,8,0,8,10,0,10,10,10,9,9,10,,10
matplotlib,163139372,7.74,10,8,0,10,10,10,9,10,,6,9,10,,10
pypdf,54611980,7.68,10,6,0,6,10,10,9,10,10,3,10,10,,10
pypdf2,19642117,7.68,10,6,0,6,10,10,9,10,10,3,10,10,,10
astroid,38560748,7.65,10,8,0,8,10,10,10,10,10,0,10,9,8,0
umf,411431,7.65,10,5,0,10,10,10,9,10,,8,10,10,,10
sigstore-protobuf-specs,89090,7.65,10,,0,10,10,0,10,10,10,8,8,10,6,10
astropy,4259143,7.62,10,8,0,9,10,0,10,10,10,7,7,10,,10
clang-format,2557249,7.59,0,3,5,9,10,10,9,10,10,6,7,9,8,10
niquests,1957181,7.59,10,,5,5,10,0,10,10,10,5,9,10,10,10
clang-tidy,255914,7.59,0,3,5,9,10,10,9,10,10,6,7,9,8,10
nautilus-trader,229692,7.59,10,5,0,0,10,10,10,10,10,10,10,10,2,9
nncf,394585,7.56,10,5,0,10,10,10,10,10,,6,10,10,,10
weblate,222989,7.56,10,3,5,1,10,10,10,10,,10,8,10,8,10
crytic-compile,146817,7.56,10,4,0,5,10,0,10,10,10,5,8,10,8,10
requests,1244309463,7.53,10,,0,8,10,10,10,10,10,6,10,10,0,10
jsonschema,419945545,7.50,10,,0,5,10,10,10,10,10,10,10,10,0,10
tbb,1457568,7.44,10,3,2,10,10,10,10,10,,8,8,10,0,10
tbb-devel,119316,7.44,10,3,2,10,10,10,10,10,,8,8,10,0,10
ops,211886,7.41,10,4,2,10,10,0,10,10,10,4,10,10,,10
ops-scenario,71692,7.41,10,4,2,10,10,0,10,10,10,4,10,10,,10
attrs,649186630,7.38,10,,5,2,10,10,10,10,10,10,10,10,,10
homeassistant,1467160,7.38,10,5,0,10,10,0,10,10,10,7,7,9,,10
pyhanko,6214049,7.35,10,3,0,0,10,0,10,10,10,7,10,10,10,9
pyhanko-certvalidator,4094957,7.35,10,3,0,0,10,0,10,10,10,7,10,10,10,9
trufflehog,111808,7.35,9,5,0,10,10,0,10,10,10,7,10,10,8,0
