Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,395719124,8.78,10,,5,9,10,10,10,10,10,8,10,10,9,10,10
tuf,61209,8.05,10,,10,10,10,0,10,10,10,8,10,10,4,10,10
flatbuffers,13067553,7.62,8,,0,5,10,10,10,10,10,4,7,10,9,10,8
charset-normalizer,277662353,7.59,10,,0,2,10,10,10,10,10,8,10,10,3,10,10
requests,321150859,7.51,10,,0,10,10,10,10,10,,10,9,10,0,10,10
pyhanko,499865,7.32,10,,0,2,10,0,10,10,10,7,10,10,8,9,10
defusedxml,22131021,7.22,10,0,0,0,10,10,9,10,10,7,0,10,8,10,10
pybind11,6467782,7.22,10,,0,8,10,10,9,10,10,7,0,10,,10,10
pybind11-global,54493,7.22,10,,0,8,10,10,9,10,10,7,0,10,,10,10
red-discordbot,37314,7.08,10,8,0,8,10,0,10,10,10,7,10,10,,0,10
codespell,522368,6.97,10,,0,10,10,0,10,10,10,7,0,0,8,10,10
numpy,169212007,6.92,10,,0,10,10,10,10,10,,,9,9,0,10,10
functions-framework,2921511,6.86,10,,0,10,10,0,10,10,10,7,10,0,,10,10
aiohttp,73439058,6.84,10,,0,7,10,10,9,10,10,5,10,10,1,0,10
twisted,3510167,6.84,10,,0,10,10,0,9,10,10,7,0,10,,10,10
attrs,108748451,6.78,10,,5,2,10,0,10,10,10,8,7,10,,10,10
flask,88003901,6.76,10,,0,3,10,10,10,10,10,8,0,9,9,0,10
django-axes,216059,6.76,10,0,0,3,10,0,10,10,10,7,10,10,,9,10
coverage,62895864,6.73,10,,5,0,10,10,10,10,,7,10,10,,10,10
presidio-analyzer,138970,6.73,10,,0,9,10,0,10,10,,6,10,10,,10,10
presidio-anonymizer,76070,6.73,10,,0,9,10,0,10,10,,6,10,10,,10,10
scapy,2108889,6.70,10,,0,8,10,10,10,10,,7,10,0,,10,10
click,136831783,6.68,10,,0,1,10,10,10,10,10,8,0,9,10,0,10
cryptography,225238452,6.65,10,,0,10,10,10,9,10,,5,0,10,,9,10
pillow,61154810,6.65,10,0,2,7,10,10,9,10,,7,0,10,,10,10
pyarrow,72403466,6.62,10,,0,9,10,10,10,10,10,,0,10,,10,6
argon2-cffi,12731145,6.62,10,,5,0,10,0,10,10,10,8,7,10,,10,10
