Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,233856611,8.85,10,8,5,10,10,10,10,10,10,10,10,,10,5,10,10
apache-airflow,9723048,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-http,2977218,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-amazon,2393246,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-common-sql,2255290,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sqlite,1766955,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-imap,1751253,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ftp,1743563,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cncf-kubernetes,1527537,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-google,1468617,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-snowflake,1263741,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-postgres,1145628,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-databricks,1116117,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mysql,1099266,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-amazon,818361,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-spark,540400,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-slack,508795,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-datadog,502668,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-mssql,335859,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ssh,333866,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-celery,244756,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sftp,227988,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-docker,212297,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hive,212073,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-oracle,207604,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jdbc,196419,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-redis,177700,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-odbc,173818,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-cncf-kubernetes,165606,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mongo,138047,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-pagerduty,125243,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-microsoft-azure,123679,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-tableau,122106,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-salesforce,120415,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-presto,119540,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sendgrid,118215,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-airbyte,110394,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hdfs,104036,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-telegram,97557,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-azure,94471,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-papermill,94062,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-dbt-cloud,87983,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jira,86686,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-livy,86263,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cloudant,79567,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-druid,78615,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-asana,76955,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-ssh,76735,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-snowflake,76460,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jenkins,71684,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-http,63191,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
flatbuffers,8320379,8.10,10,8,0,6,10,10,10,10,10,,5,10,10,4,10,10
google-cloud-storage,50205612,7.60,10,8,0,10,10,10,10,10,10,,5,,10,,10,10
cryptography,138618886,7.55,10,8,0,10,10,10,10,10,10,,4,,10,,10,10
googleapis-common-protos,66991575,7.38,10,8,0,10,10,10,10,10,7,,5,,10,,10,10
coverage,28462079,7.30,10,3,5,0,10,10,10,10,10,,9,10,10,,10,10
pyarrow,66422025,7.25,10,3,0,7,10,10,10,10,10,10,,,10,,10,10
jsii,909045,7.20,10,8,0,10,10,10,0,10,10,10,,,10,8,0,10
django-axes,190142,7.15,10,0,0,5,10,10,0,10,10,10,7,10,10,,9,10
google-crc32c,26058331,7.12,10,8,0,9,10,10,10,10,10,10,2,,10,,0,10
google-cloud-aiplatform,1483686,7.10,10,8,0,10,10,10,0,10,10,,5,,10,,10,10
google-cloud-bigquery,59766548,7.08,10,1,0,10,10,10,10,10,10,,5,0,10,,10,10
google-cloud-logging,9900907,7.08,10,1,0,10,10,10,10,10,10,,5,0,10,,10,10
trufflehog,128253,7.08,10,6,0,9,10,10,0,10,10,10,5,9,10,0,0,10
matplotlib,28042309,7.05,10,6,0,10,10,10,10,10,10,,2,10,10,,0,10
google-api-python-client,25394309,7.05,10,8,0,10,10,10,10,10,10,,9,0,10,,0,10
google-auth,71342873,7.00,10,0,0,10,10,10,10,10,10,,5,0,10,,10,10
google-cloud-audit-log,3640703,6.95,10,8,0,10,10,10,0,10,8,,5,0,10,,10,10
sqlalchemy-bigquery,736518,6.95,10,8,0,10,10,10,0,10,8,,5,,10,0,10,10
pybigquery,222359,6.95,10,8,0,10,10,10,0,10,8,,5,,10,0,10,10
aws-sam-translator,4666096,6.92,10,4,0,10,10,10,0,10,10,,9,,10,,9,10
pymemcache,886068,6.90,10,6,0,10,10,10,0,10,10,,9,10,10,0,0,10
amundsen-common,391750,6.90,10,8,2,10,10,10,0,10,10,10,5,0,10,,0,10
amundsen-databuilder,211838,6.90,10,8,2,10,10,10,0,10,10,10,5,0,10,,0,10
tink,1098324,6.88,9,0,0,10,10,10,10,10,10,,9,10,10,0,0,10
google-cloud-ndb,180059,6.88,10,8,0,10,10,10,0,10,7,,5,,10,,10,10
google-cloud,2119134,6.83,10,8,0,10,10,10,0,10,5,,7,0,10,,10,10
google-api-core,172912499,6.80,10,8,0,10,10,10,10,10,10,,4,,10,,0,10
pytest,43408085,6.80,10,8,0,8,10,10,10,10,10,10,7,0,0,,0,10
google-resumable-media,40785471,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-secret-manager,14590100,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
scapy,1606618,6.80,10,8,0,8,10,0,10,10,10,,7,10,0,,10,10
