Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,329215565,8.86,10,,5,10,10,10,10,10,10,8,10,10,9,10,10
charset-normalizer,235247237,7.70,10,,0,4,10,10,10,10,10,8,9,10,3,10,10
flatbuffers,10646496,7.65,10,,0,4,10,10,10,10,10,3,7,10,9,10,8
requests,284144318,7.32,10,,0,9,10,10,10,10,,8,9,10,0,10,10
numpy,153101966,7.16,10,,0,9,10,10,10,10,,5,10,9,0,10,10
pyhanko,375604,7.11,10,,0,0,10,0,10,10,10,6,10,10,8,9,10
pybind11,4516050,7.08,10,,0,7,10,10,9,10,10,6,0,10,,10,10
redis,24090362,7.05,10,,0,10,10,10,10,10,10,5,10,0,,9,8
django-axes,202672,6.95,10,0,0,6,10,0,10,10,10,6,10,10,,9,10
attrs,103933892,6.86,10,,5,1,10,0,10,10,10,8,10,10,,10,10
argon2-cffi,8076100,6.78,10,,5,0,10,0,10,10,10,8,10,10,,10,10
service-identity,2125138,6.78,10,,5,0,10,0,10,10,10,8,10,10,,10,10
click,108941928,6.76,10,,0,2,10,10,10,10,10,8,0,9,10,0,10
functions-framework,1943236,6.76,10,,0,10,10,0,10,10,10,6,9,0,,10,10
scapy,2087538,6.73,10,,0,9,10,10,10,10,,6,10,0,,10,10
presidio-analyzer,144296,6.73,10,,0,9,10,0,10,10,,6,10,10,,10,10
pillow,53050338,6.68,10,0,2,8,10,10,9,10,,6,0,10,,10,10
coverage,49066870,6.68,10,,5,0,10,10,10,10,,6,10,10,,10,10
cryptography,162597848,6.65,10,,0,10,10,10,9,10,,5,0,10,,9,10
structlog,7168389,6.65,10,,5,0,10,0,9,10,10,6,10,10,,10,10
twisted,2591012,6.62,10,,0,8,10,0,9,10,10,6,0,10,,10,10
markupsafe,100721849,6.59,10,,0,0,10,10,10,10,10,8,0,9,10,0,10
hiredis,2352403,6.54,10,0,0,10,10,10,9,8,10,6,0,0,,9,10
ml-wrappers,107881,6.54,10,,0,10,10,0,10,10,10,6,10,10,,0,10
flask,80600277,6.51,10,,0,0,10,10,10,10,10,8,0,9,9,0,10
aiohttp,62204503,6.51,10,,0,3,10,10,9,10,10,5,10,10,1,0,10
pem,279426,6.51,10,,5,0,10,10,10,10,10,8,10,10,,0,10
meson,572512,6.49,10,,0,10,10,0,10,10,10,3,10,0,8,0,10
pyarrow,69079298,6.46,10,,0,9,10,10,10,10,10,,0,10,,10,4
multidict,57829869,6.43,10,,0,3,10,10,9,10,10,6,9,10,0,0,10
yarl,56777178,6.43,10,,0,2,10,10,10,10,10,6,10,10,0,0,10
black,17881722,6.41,10,,0,9,10,10,10,10,10,5,0,10,0,0,10
tink,149376,6.41,9,,0,10,10,10,10,10,,8,10,10,0,0,8
ansible-lint,987137,6.35,10,,5,6,10,0,10,10,10,6,10,10,,0,10
trufflehog,90491,6.27,9,,0,10,10,0,10,10,10,6,9,9,0,0,9
onnx,2638648,6.24,10,,5,10,10,0,10,10,,8,10,10,0,0,10
jsii,1580746,6.24,10,,0,9,10,0,10,10,10,,0,10,8,0,10
sanic,654242,6.24,10,,0,7,10,0,10,10,10,5,10,10,,0,10
pycparser,94218432,6.22,10,0,0,3,10,10,9,8,,9,0,10,,10,10
immutabledict,585490,6.19,10,,0,2,10,0,10,10,10,8,10,0,,9,10
onnxconverter-common,584274,6.19,10,,0,10,10,0,10,2,,9,9,10,0,9,10
httpcore,18912444,6.16,10,,0,10,10,10,10,10,,9,0,10,,0,10
httpx,15181220,6.16,10,,0,10,10,10,10,10,,9,0,10,,0,10
google-cloud-secret-manager,11178626,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-appengine-logging,6429338,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-resource-manager,5520430,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
bokeh,2992492,6.14,10,,0,9,10,0,10,10,10,3,7,10,,0,10
google-cloud-datacatalog,2129636,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-redis,1561950,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-recommendations-ai,1276245,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-dataproc-metastore,1154620,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-orchestration-airflow,1148989,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-dataplex,1148905,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-memcache,1148717,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-dataform,758020,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-notebooks,198791,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-certificate-manager,190300,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-recaptcha-enterprise,162698,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-private-ca,153463,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-billing,149308,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
google-cloud-functions,87974,6.14,10,,0,10,10,0,10,10,,1,4,10,,10,9
pyparsing,71907359,6.11,10,,0,0,10,10,10,10,,8,0,10,0,10,10
matplotlib,31235766,6.11,10,,0,10,10,10,0,10,,3,10,10,,0,10
aws-sam-translator,9821589,6.11,10,,0,10,10,0,10,10,,9,9,10,,0,10
artifacts-keyring,523905,6.11,10,,0,8,10,0,10,9,,9,0,10,,9,10
pycep-parser,517329,6.11,10,,0,0,10,0,10,10,10,8,,10,,10,10
codespell,407178,6.11,10,,0,10,10,0,10,10,10,6,0,0,8,0,10
django-ratelimit,221325,6.11,10,,0,5,10,0,9,10,10,6,10,10,,0,10
tensorstore,513109,6.08,10,0,0,10,10,0,9,10,10,8,0,10,,0,10
aqtinstall,98326,6.08,10,0,0,5,10,0,10,10,10,6,9,10,0,0,10
werkzeug,84442506,6.05,10,,0,0,10,0,10,10,10,8,0,9,10,0,10
lxml,64780309,6.05,10,,0,1,10,10,9,10,,6,0,10,0,10,10
