Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions
urllib3,1793872890,8.59,10,8,5,9,10,10,10,10,10,8,10,10,0,10
onnx,16962991,8.50,10,8,7,10,10,10,10,10,10,5,9,10,,10
onnx-weekly,316594,8.50,10,8,7,10,10,10,10,10,10,5,9,10,,10
haystack-ai,826519,8.38,10,8,5,10,10,10,10,10,10,5,8,10,,10
farm-haystack,76686,8.38,10,8,5,10,10,10,10,10,10,5,8,10,,10
openexr,861984,8.35,10,,5,5,10,10,10,10,10,10,10,10,8,10
awslabs-aws-documentation-mcp-server,863510,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-api-mcp-server,447512,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-mcp-server,354888,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-pricing-mcp-server,262685,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-iac-mcp-server,207511,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-bedrock-kb-retrieval-mcp-server,156131,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-billing-cost-management-mcp-server,150747,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-msk-mcp-server,105675,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-redshift-mcp-server,104819,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-eks-mcp-server,100778,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-serverless-mcp-server,81649,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
nautilus-trader,372091,8.29,10,5,0,2,10,10,10,10,10,10,7,10,10,9
