Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions
urllib3,1843477278,8.59,10,8,5,9,10,10,10,10,10,8,10,10,0,10
onnx,20484447,8.56,10,8,7,10,10,10,10,10,10,5,10,10,,10
onnx-weekly,264500,8.56,10,8,7,10,10,10,10,10,10,5,10,10,,10
haystack-ai,1059625,8.44,10,8,5,10,10,10,10,10,10,5,9,10,,10
farm-haystack,80201,8.44,10,8,5,10,10,10,10,10,10,5,9,10,,10
openexr,695981,8.35,10,,5,5,10,10,10,10,10,10,10,10,8,10
awslabs-aws-documentation-mcp-server,935888,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-billing-cost-management-mcp-server,520319,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-api-mcp-server,451414,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-mcp-server,195680,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-iac-mcp-server,164502,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-pricing-mcp-server,156224,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-eks-mcp-server,123837,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-redshift-mcp-server,98931,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-bedrock-kb-retrieval-mcp-server,82853,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
tuf,961921,8.26,10,8,10,10,10,0,10,10,10,4,10,10,3,10
pylint,69022381,8.09,10,8,5,7,10,0,10,10,10,3,10,9,8,9
langsmith,116925137,8.00,10,8,0,10,10,0,10,10,10,10,10,9,,10
nautilus-trader,253604,7.97,10,5,0,1,10,10,10,10,10,9,7,10,8,9
pywemo,76297,7.88,10,,5,,10,10,9,10,10,7,10,10,10,10
gdal,384174,7.85,10,,5,3,10,10,9,10,10,8,8,9,8,10
matplotlib,232353625,7.79,10,8,0,10,10,10,9,10,,6,10,10,,10
idna,1760742555,7.71,10,,0,0,10,10,10,10,10,9,10,10,8,10
astropy,3724369,7.71,10,8,0,10,10,0,10,10,10,7,7,10,,10
sigstore-protobuf-specs,104175,7.71,10,,0,10,10,0,10,10,10,8,9,10,6,10
yt-dlp,20041303,7.68,10,8,0,5,10,0,10,10,10,9,10,0,8,10
cloudsmith-cli,370209,7.68,10,5,0,10,10,0,10,10,10,8,8,0,8,10
pypdf,129364007,7.59,10,6,0,5,10,10,9,10,10,3,10,10,,10
pypdf2,26518980,7.59,10,6,0,5,10,10,9,10,10,3,10,10,,10
wled,75748,7.59,10,4,0,8,10,0,10,10,10,9,0,10,8,10
nncf,1297270,7.56,10,5,0,10,10,10,10,10,,6,10,10,,10
umf,586598,7.56,10,5,0,9,10,10,9,10,,8,10,10,,10
cheroot,2779714,7.50,10,8,2,10,10,0,10,10,10,1,10,10,9,0
ops,484840,7.50,10,4,2,10,10,0,10,10,10,7,10,10,,9
crytic-compile,220676,7.50,10,4,0,5,10,0,10,10,10,5,7,10,8,10
ops-scenario,184553,7.50,10,4,2,10,10,0,10,10,10,7,10,10,,9
nidaqmx,117351,7.50,10,4,0,10,10,0,9,10,10,9,8,10,,10
aiobotocore,1164834706,7.47,10,8,0,4,10,0,10,10,10,9,10,10,,10
tbb,3293341,7.44,10,3,2,10,10,10,10,10,,8,8,10,0,10
tbb-devel,139105,7.44,10,3,2,10,10,10,10,10,,8,8,10,0,10
oauthlib,332548810,7.41,10,6,0,7,10,10,10,10,10,0,8,10,,9
astroid,55355505,7.41,10,8,0,6,10,10,10,10,10,0,9,9,8,0
python-bsblan,76947,7.41,10,,5,1,10,0,10,10,10,10,10,10,8,10
requests,1756048205,7.38,10,,0,7,10,10,10,10,10,5,10,10,0,10
stripe,43297720,7.38,10,8,0,9,10,0,10,10,10,0,10,10,,10
homeassistant,2067737,7.38,10,5,0,10,10,0,10,10,10,7,7,9,,10
click,1089240135,7.35,10,3,0,9,10,10,10,10,10,8,0,9,0,10
taskcluster,987895,7.35,10,5,0,9,10,0,10,10,10,4,10,10,0,10
trufflehog,137592,7.35,9,5,0,10,10,0,10,10,10,7,10,10,8,0
jsonschema,596925041,7.32,10,,0,3,10,10,10,10,10,10,10,10,0,10
deebot-client,90982,7.32,10,4,0,6,10,0,10,10,10,9,10,0,8,9
clang-format,4314047,7.26,0,3,5,6,10,10,9,10,10,5,7,9,8,10
lit,3427839,7.26,0,3,5,6,10,10,9,10,10,5,7,9,8,10
clang-tidy,422879,7.26,0,3,5,6,10,10,9,10,10,5,7,9,8,10
packaging,2198449167,7.24,4,,0,9,10,10,9,10,10,10,10,9,,10
pyhanko,9006390,7.24,10,3,0,0,10,0,10,10,10,8,10,10,8,9
pyhanko-certvalidator,6294287,7.24,10,3,0,0,10,0,10,10,10,8,10,10,8,9
niquests,1978036,7.21,10,,5,0,10,0,10,10,10,5,10,10,10,10
adguardhome,74081,7.21,10,4,2,7,10,0,10,0,10,9,9,10,8,10
west,1813838,7.18,10,6,0,10,10,0,10,10,10,8,10,0,0,10
abnf,1082161,7.18,10,4,0,0,10,0,10,10,10,4,10,10,8,10
truelayer-signing,191606,7.18,8,6,0,9,10,0,10,10,10,5,9,10,,9
typing-extensions,1904238788,7.15,10,,0,10,10,10,9,10,10,7,0,10,,10
babel,141619058,7.15,10,,0,3,10,10,10,10,10,7,10,10,0,10
pymongocrypt,1284344,7.15,10,5,0,10,10,10,10,10,10,2,10,0,8,0
numpy,1143792865,7.12,10,3,0,10,10,10,9,10,,3,10,9,0,10
pillow,547140713,7.12,10,3,5,7,10,10,9,10,10,4,0,10,,10
twine,36352430,7.12,8,,0,10,10,0,10,10,10,4,10,0,10,10
flask,211412737,7.09,10,3,0,0,10,10,10,10,10,8,0,9,6,10
ipython,172926443,7.09,10,,2,4,10,10,10,10,10,6,10,9,0,9
xtgeo,129681,7.09,10,,0,10,10,0,10,10,10,7,10,10,,9
openai,398217507,7.06,10,1,0,9,10,0,10,10,10,9,9,10,,8
memray,16122500,7.06,10,,0,10,10,0,10,10,10,5,10,10,,10
pydata-sphinx-theme,4710080,7.06,10,4,0,10,10,0,10,10,10,9,10,0,,10
opentelemetry-semantic-conventions,542941923,7.03,10,4,5,10,10,0,10,10,,9,7,10,,10
opentelemetry-sdk,521829274,7.03,10,4,5,10,10,0,10,10,,9,7,10,,10
opentelemetry-api,463796331,7.03,10,4,5,10,10,0,10,10,,9,7,10,,10
