Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,430407955,8.70,10,,5,10,10,10,10,10,10,5,10,10,10,10,9
tuf,117610,8.16,10,,10,10,10,0,10,10,10,4,10,10,8,10,10
requests,355289462,7.51,10,,0,10,10,10,10,10,,10,9,10,0,10,10
in-toto,93142,7.43,10,,10,10,10,0,9,10,10,4,0,10,6,10,10
numpy,205150723,7.05,10,,0,10,10,10,9,10,,3,9,9,0,10,10
google-re2,6525107,7.03,10,0,0,10,10,10,10,10,10,0,0,10,0,10,10
charset-normalizer,301791660,6.97,10,,0,0,10,10,10,10,10,4,10,10,,10,10
pillow,76398064,6.89,10,0,2,8,10,10,9,10,10,0,0,10,,10,10
pem,382357,6.89,10,,5,0,10,10,10,10,10,0,10,10,,10,10
pyhanko,557566,6.86,10,,0,1,10,0,10,10,10,0,10,10,8,9,10
aiohttp,99222672,6.84,10,,0,4,10,10,9,10,10,0,9,10,8,0,10
flatbuffers,13840973,6.84,8,,0,5,10,10,10,10,10,0,7,10,10,10,0
pybind11,7140466,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
pybind11-global,85000,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
matplotlib,49432307,6.78,10,,0,10,10,10,9,10,10,1,10,10,,0,10
yt-dlp,2280292,6.78,10,,0,7,10,0,9,10,10,0,10,0,8,9,10
functions-framework,2196655,6.76,10,,0,10,10,0,10,10,10,5,10,0,,10,10
sentencepiece,11139938,6.73,10,0,0,1,10,10,10,10,,8,4,10,4,10,10
cryptography,212947138,6.68,10,,0,10,10,10,9,10,,4,0,10,,10,10
botocore,431869136,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
trufflehog,108056,6.65,9,,0,10,10,0,10,10,10,0,10,9,8,0,9
twine,3674266,6.62,7,,0,4,10,0,10,10,10,1,10,0,10,10,10
certifi,320871994,6.57,10,3,0,5,10,0,9,10,10,5,0,10,,10,10
tables,775629,6.57,10,0,0,8,10,10,10,10,,6,0,10,0,10,9
django-axes,291437,6.54,10,0,0,5,10,0,10,10,10,0,10,10,,9,10
pyarrow,87660309,6.51,10,,0,9,10,10,10,10,10,1,0,10,,10,4
coverage,56506126,6.49,10,,5,1,10,10,10,10,,1,10,10,,10,10
keras,13400182,6.46,10,,0,4,10,10,10,10,10,0,0,10,,9,10
keras-nightly,258366,6.46,10,,0,4,10,10,10,10,10,0,0,10,,9,10
markupsafe,135449424,6.43,10,,0,0,10,10,10,10,10,5,0,9,10,0,10
google-cloud-secret-manager,16035032,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-appengine-logging,9614263,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-resource-manager,8032592,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-vision,4408755,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataproc,3747483,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-kms,3512814,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-monitoring,3428435,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dlp,3249803,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-tasks,2940938,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-container,2938589,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-datacatalog,2802774,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-compute,2632193,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-build,2578830,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-language,2467129,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-videointelligence,2441026,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-bigquery-datatransfer,2417926,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataplex,2268498,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-automl,2243082,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-redis,2205647,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-workflows,2152400,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-translate,1998293,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataproc-metastore,1911660,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-orchestration-airflow,1851578,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-os-login,1830295,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-memcache,1803221,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-speech,1572644,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-dataform,1524704,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-texttospeech,1425902,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
google-cloud-recommendations-ai,1405420,6.43,10,,0,10,10,0,10,10,,0,9,10,,10,10
