Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,206676797,8.60,10,8,2,10,10,10,10,10,10,10,7,10,2,10,10
googleapis-common-protos,54996635,7.53,10,8,0,10,10,10,10,10,10,,5,10,,10,10
google-cloud-storage,41811307,7.53,10,8,0,10,10,10,10,10,10,,5,10,,10,10
google-cloud-bigquery,39777934,7.53,10,8,0,10,10,10,10,10,10,,5,10,,10,10
apache-airflow,6848574,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
google-cloud-logging,5683935,7.53,10,8,0,10,10,10,10,10,10,,5,10,,10,10
apache-airflow-providers-cncf-kubernetes,2762396,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-amazon,2559102,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-google,2382633,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-postgres,2292501,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-mysql,1685780,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-http,1565130,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-ftp,1179446,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-imap,1161282,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-sqlite,1159409,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-snowflake,1142916,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-backport-providers-amazon,747796,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-databricks,644141,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-slack,439062,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-microsoft-mssql,380104,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-oracle,337407,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-apache-hive,334866,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-ssh,274153,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-datadog,253682,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-tableau,250336,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-celery,250203,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-mongo,224079,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-airbyte,166529,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-pagerduty,163621,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-sftp,160275,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-backport-providers-microsoft-azure,159301,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
apache-airflow-providers-jdbc,154701,7.53,10,6,0,10,10,0,10,10,10,,7,10,10,10,10
