Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,1168251588,9.11,10,8,5,10,10,10,10,10,10,8,10,10,6,10,8
tuf,135717,8.49,10,8,10,10,10,0,10,10,10,4,10,10,4,10,10
pylint,36432194,8.14,10,8,5,10,10,0,10,10,10,0,8,9,8,9,9
gdal,332098,8.00,10,,5,2,10,10,9,10,10,8,9,9,8,10,10
xclim,132830,7.86,10,5,5,8,10,0,10,10,10,10,10,10,,10,9
aiobotocore,895931528,7.78,10,8,0,9,10,0,10,10,10,8,10,10,,9,8
astroid,37498408,7.78,10,8,0,8,10,10,10,10,10,0,9,9,8,0,10
umf,248672,7.78,10,5,0,10,10,10,9,10,,8,9,10,,10,10
matplotlib,128440095,7.70,10,8,0,10,10,10,9,10,10,6,10,10,,0,10
awslabs-aws-documentation-mcp-server,507197,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-api-mcp-server,409895,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
ops,306814,7.70,10,5,2,10,10,0,10,10,10,4,10,10,,10,10
awslabs-cloudwatch-appsignals-mcp-server,236752,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-dynamodb-mcp-server,191164,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-pricing-mcp-server,173816,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-diagram-mcp-server,152488,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-redshift-mcp-server,138278,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-eks-mcp-server,123569,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-cost-explorer-mcp-server,120155,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-dataprocessing-mcp-server,103472,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
ops-scenario,97191,7.70,10,5,2,10,10,0,10,10,10,4,10,10,,10,10
awslabs-cdk-mcp-server,93675,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-healthomics-mcp-server,90523,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-mysql-mcp-server,86639,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-billing-cost-management-mcp-server,76188,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-cloudwatch-mcp-server,70569,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-s3-tables-mcp-server,63926,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-core-mcp-server,63628,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-syntheticdata-mcp-server,62540,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-cfn-mcp-server,60146,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-cloudtrail-mcp-server,59968,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-amazon-mq-mcp-server,54558,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-nova-canvas-mcp-server,51293,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-postgres-mcp-server,49435,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-serverless-mcp-server,49419,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-iam-mcp-server,47015,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-ecs-mcp-server,45719,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-msk-mcp-server,44515,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-bedrock-kb-retrieval-mcp-server,44387,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-amazon-neptune-mcp-server,44288,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-lambda-tool-mcp-server,43926,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-elasticache-mcp-server,42474,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-amazon-sns-sqs-mcp-server,42337,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-prometheus-mcp-server,42184,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-stepfunctions-tool-mcp-server,42097,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-amazon-kendra-index-mcp-server,42091,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aws-location-mcp-server,41869,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-memcached-mcp-server,41830,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-aurora-dsql-mcp-server,41796,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
awslabs-timestream-for-influxdb-mcp-server,41439,7.70,10,10,5,10,10,0,10,10,10,10,10,10,,10,0
sigstore-protobuf-specs,93464,7.65,10,,0,10,10,0,10,10,10,8,9,10,6,9,8
idna,993879252,7.59,10,,0,3,10,10,10,10,10,8,7,10,4,10,10
mkl-fft,120672,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
google-re2,9029990,7.51,10,3,0,6,10,10,10,10,10,0,0,10,8,9,10
openexr,586702,7.51,10,,5,5,10,10,10,10,10,7,10,10,8,0,10
tbb,682111,7.46,10,,2,10,10,10,10,10,,8,9,10,0,10,10
tbb-devel,59414,7.46,10,,2,10,10,10,10,10,,8,9,10,0,10,10
west,1538928,7.41,10,6,0,10,10,0,10,10,10,8,10,0,0,10,10
niquests,1443879,7.38,10,,5,0,10,0,10,10,10,4,10,10,10,10,10
attrs,451433111,7.35,10,,5,0,10,10,10,10,10,10,10,10,,9,10
presidio-analyzer,2022011,7.35,10,8,0,10,10,0,10,10,10,0,10,10,,9,7
presidio-anonymizer,1395171,7.35,10,8,0,10,10,0,10,10,10,0,10,10,,9,7
fickling,635121,7.35,10,,0,6,10,0,10,10,10,7,9,10,8,10,6
geoip2,11798266,7.30,10,6,0,10,10,0,10,10,10,6,10,0,,10,10
in-toto,48771,7.30,10,8,10,10,10,0,9,10,,4,0,10,3,10,10
typing-extensions,992728016,7.22,10,,0,10,10,10,9,10,10,4,0,10,,10,10
pyhanko,3730436,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
astropy,3339316,7.19,10,8,0,8,10,0,10,10,,7,7,10,,10,10
pyhanko-certvalidator,2856161,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
requests,1055327819,7.11,10,,0,10,10,10,10,7,,7,9,10,0,10,10
jsonschema,268643330,7.11,10,,0,0,10,10,10,10,10,8,10,10,0,9,10
nncf,254831,7.11,10,,0,10,10,10,10,10,,3,10,10,,10,9
cryptography,593195093,7.08,10,,0,10,10,10,9,10,10,6,0,10,,9,8
pem,1310645,7.05,10,,5,0,10,10,10,7,10,10,9,10,,9,10
trufflehog,128672,7.05,9,5,0,10,10,0,10,10,10,0,10,9,8,0,9
twine,21585501,7.03,8,,0,10,10,0,10,8,10,1,10,0,10,10,10
multidict,291699061,6.97,10,3,0,2,10,10,9,10,10,0,10,10,8,0,10
pytest-asyncio,68409706,6.97,10,,0,8,10,0,10,10,10,2,10,10,0,10,10
yt-dlp,8606580,6.97,10,,0,9,10,0,10,10,10,0,10,0,8,9,10
aiomysql,8039025,6.97,10,4,0,2,10,0,10,10,10,5,10,10,0,10,10
motor,8376259,6.95,10,8,0,9,10,0,10,10,10,1,10,0,8,0,10
cheroot,1930066,6.95,10,8,2,2,10,0,10,10,10,1,8,10,9,0,10
yarl,292245055,6.92,10,3,0,1,10,10,10,10,10,0,10,10,8,0,10
sentencepiece,32357929,6.92,10,0,0,0,10,10,10,10,,4,7,10,8,10,10
pillow,231880243,6.89,10,0,5,7,10,10,9,10,10,0,0,10,,10,10
mkl-service,56221,6.89,10,5,0,10,10,0,10,10,,10,0,10,,10,10
newrelic,2930061,6.86,10,5,0,10,10,0,10,10,10,7,9,10,,0,9
red-discordbot,1261680,6.86,10,8,0,10,10,0,10,10,10,0,10,10,0,0,10
clvm-rs,212327,6.86,10,6,0,10,10,10,10,7,10,0,10,9,,0,9
autogluon-mxnet,41026,6.86,10,,0,10,10,0,10,10,10,0,10,10,,8,10
autogluon-extra,40591,6.86,10,,0,10,10,0,10,10,10,0,10,10,,8,10
pydata-sphinx-theme,2315497,6.84,10,4,0,8,10,0,10,10,10,9,9,0,,9,8
pycep-parser,2142804,6.84,10,,0,1,10,0,10,10,10,10,10,10,,10,10
ordered-enum,125310,6.84,10,0,0,3,10,0,10,10,10,10,5,0,8,10,10
argon2-cffi,44075399,6.81,10,,5,0,10,0,10,10,10,10,10,10,,9,10
mkl-random,98273,6.81,10,5,0,10,10,0,10,10,,1,0,10,5,10,10
gitpython,128198506,6.78,10,,0,8,10,10,10,10,,0,10,10,,9,10
clang-format,2766413,6.78,0,3,5,8,10,10,9,10,10,4,7,9,8,10,0
adyen,997940,6.78,10,,0,8,10,0,10,10,10,0,10,10,,9,10
clang-tidy,191465,6.78,0,3,5,8,10,10,9,10,10,4,7,9,8,10,0
mne,307748,6.76,10,,7,8,10,0,10,10,10,0,9,10,,7,10
structlog,40653222,6.73,10,,5,0,10,0,9,10,10,9,10,10,,9,10
h5py,37414458,6.73,10,,0,10,10,10,10,10,10,6,0,0,0,9,10
jsii,6232913,6.73,10,8,0,10,10,0,10,10,,0,10,10,8,0,7
keras,20329206,6.70,10,,0,9,10,10,10,10,10,0,0,10,,9,8
pymongo-auth-aws,1291547,6.70,10,5,0,9,10,0,10,10,10,1,10,0,8,0,10
keras-nightly,295184,6.70,10,,0,9,10,10,10,10,10,0,0,10,,9,8
keras-hub,280679,6.70,10,,0,9,10,10,10,10,10,0,0,10,,9,8
keras-nlp,96422,6.70,10,,0,9,10,10,10,10,10,0,0,10,,9,8
cloud-sql-python-connector,8167268,6.68,10,,5,10,10,0,10,10,,6,8,10,,9,9
prometheus-async,263801,6.68,10,,0,0,10,0,10,10,10,10,10,10,,9,10
numpy,603389302,6.65,10,3,0,9,10,10,9,10,,3,9,9,0,9,4
ibmcloudant,13006788,6.65,10,,0,8,10,0,10,10,,6,10,10,,10,10
pyhf,1751467,6.65,10,5,0,7,10,0,10,10,10,0,10,0,,10,10
chiavdf,238706,6.65,10,6,0,10,10,0,10,10,10,0,10,9,0,0,10
async-lru,34772004,6.62,10,,0,10,10,0,10,10,10,0,10,10,5,0,10
pymongo,67491206,6.59,10,5,0,10,10,0,10,10,10,2,10,0,8,0,7
launchdarkly-server-sdk,4849520,6.59,10,1,0,10,10,0,9,10,10,2,0,9,10,0,10
ecs-logging,2317039,6.59,10,5,0,10,10,0,10,6,10,2,0,10,,9,10
botocore,1065776884,6.57,10,,0,1,10,10,10,10,,8,10,10,,10,8
markupsafe,408100875,6.57,10,3,0,1,10,10,10,10,10,9,0,9,8,0,7
urllib3-future,1474407,6.57,10,,0,0,10,0,10,10,10,2,10,10,10,10,3
newrelic-telemetry-sdk,1285218,6.57,10,5,0,8,10,0,10,4,10,4,5,10,,8,10
joblib,126827111,6.54,10,,0,6,10,10,10,10,10,0,0,10,8,0,10
github3-py,3285667,6.54,10,,2,10,10,0,10,10,,6,10,4,,10,10
docker-compose,1352429,6.54,10,8,0,9,10,0,10,10,,0,2,10,0,9,10
bullmq,265075,6.54,10,1,0,10,10,0,10,10,10,4,10,0,,7,10
click,471525365,6.51,10,3,0,3,10,10,10,10,10,8,0,9,6,0,7
hightime,107731,6.51,10,4,0,10,10,0,9,10,10,10,0,10,,0,10
cuda-python,1847658,6.49,10,4,0,9,10,0,9,10,10,4,7,10,0,0,10
cuda-bindings,1635823,6.49,10,4,0,9,10,0,9,10,10,4,7,10,0,0,10
cuda-pathfinder,1038802,6.49,10,4,0,9,10,0,9,10,10,4,7,10,0,0,10
securesystemslib,220695,6.49,10,8,0,10,10,0,10,10,10,3,0,10,0,10,0
solc-select,200034,6.49,10,,0,8,10,0,10,10,10,0,9,10,8,0,8
cattrs,49401267,6.46,10,0,0,3,10,0,10,10,10,4,9,10,,10,8
twisted,10561421,6.46,10,,0,10,10,0,9,10,10,0,0,10,,10,10
qh3,1639899,6.46,10,,0,0,10,0,10,10,10,1,0,10,10,10,9
pytenable,232896,6.46,10,5,0,10,10,0,10,10,10,0,10,10,,0,8
oauthlib,210755569,6.43,10,6,0,9,10,10,10,4,10,0,4,10,,9,2
cachecontrol,79014728,6.43,10,0,0,4,10,0,9,1,10,10,10,0,8,10,10
pyrfc3339,7319195,6.43,10,0,0,0,10,0,10,10,10,8,10,0,4,10,10
pymongocrypt,1231436,6.43,10,5,0,9,10,10,10,10,10,1,10,0,8,0,0
pyvista,1074569,6.43,10,,0,10,10,0,10,10,10,4,10,10,,0,10
pyjwt,268680912,6.41,10,,0,9,10,10,10,10,10,0,5,10,,0,10
podman,284552,6.41,10,1,0,10,10,0,10,10,10,0,0,10,8,0,10
nidaqmx,105494,6.41,10,4,0,10,10,0,9,10,10,8,0,10,,0,10
google-benchmark,61938,6.41,10,,0,9,10,0,10,10,10,8,7,10,,0,10
tidy3d,48384,6.41,10,5,0,10,10,0,10,10,,4,7,0,,10,10
pybamm,44193,6.38,10,,0,10,10,0,10,10,10,8,0,0,,10,10
ml-dtypes,24574369,6.35,10,3,0,8,10,0,10,10,10,3,3,0,,10,10
