Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
google-cloud-pubsub,17234309,7.16,10,8,0,10,10,10,10,10,10,,4,10,,0,10
google-cloud-secret-manager,11979229,7.16,10,8,0,10,10,10,10,10,10,,4,10,,0,10
google-cloud-audit-log,3423631,7.16,10,8,0,10,10,10,0,10,6,,5,10,,10,10
google-cloud-resource-manager,1183876,7.16,10,8,0,10,10,10,10,10,10,,4,10,,0,10
google-cloud-tasks,750294,7.16,10,8,0,10,10,10,10,10,10,,4,10,,0,10
google-cloud-error-reporting,519338,7.16,10,8,0,10,10,10,10,10,10,,4,10,,0,10
google-cloud-iam,259953,7.16,10,8,0,10,10,10,10,10,10,,4,10,,0,10
django-axes,156764,7.16,10,0,0,7,10,10,0,10,10,10,7,10,,9,10
dash,858231,7.13,10,8,0,9,10,10,0,10,10,,10,0,,10,10
airflow-dbt,177347,7.11,10,8,0,10,10,10,0,10,2,,10,10,,10,10
google-api-core,125537017,7.08,10,7,0,10,10,10,10,10,10,,4,10,,0,10
django-simple-history,387180,7.08,10,6,0,10,10,10,0,10,9,10,7,10,,0,10
google-cloud-firestore,3335001,7.05,10,8,0,10,10,10,10,10,10,,2,10,,0,10
trufflehog,112722,7.05,10,6,0,10,10,10,,10,10,10,5,10,0,0,10
sqlalchemy-bigquery,607750,7.00,10,8,0,10,10,10,0,10,4,,5,10,0,10,10
pybigquery,288654,7.00,10,8,0,10,10,10,0,10,4,,5,10,0,10,10
jsii,714487,6.97,10,8,0,9,10,10,0,10,10,,,10,8,0,10
aws-lambda-builders,426889,6.97,10,10,0,10,10,0,0,10,10,,9,10,,9,10
adal,21392840,6.95,10,7,0,9,10,10,10,10,2,,10,0,0,10,10
kedro,349190,6.95,10,10,0,10,10,10,0,10,10,,2,0,,10,10
econml,158467,6.95,10,8,0,10,10,0,0,10,10,,10,10,,10,10
numpy,118805909,6.92,10,3,0,8,10,10,10,10,10,10,0,10,0,0,10
brotli,5597000,6.92,10,0,0,9,10,10,10,10,2,,10,10,0,10,10
google-cloud-ndb,219265,6.92,10,8,0,10,10,10,0,10,3,,5,10,,10,10
proto-plus,35944801,6.89,10,8,0,10,10,10,0,10,10,,9,10,,0,10
google-api-python-client,24292403,6.89,10,8,0,10,10,10,,10,10,,9,10,,0,10
sphinx-notfound-page,127141,6.89,10,8,0,6,10,10,0,10,10,,10,0,,10,10
flask,35284453,6.84,10,3,0,3,10,10,10,10,10,,7,10,6,0,10
proxy-py,119283,6.82,10,4,0,9,10,10,0,10,10,10,5,10,0,0,10
tensorboard-plugin-profile,111084,6.82,10,3,0,10,10,10,0,10,10,,10,0,,10,10
streamlit,809388,6.79,10,8,0,10,10,10,0,10,10,,2,0,,10,10
auth0-python,352369,6.79,10,8,0,10,10,10,0,10,10,,7,10,,0,10
djangorestframework-api-key,142785,6.79,10,6,0,10,10,0,0,10,10,,10,10,,10,10
google-cloud-core,47253671,6.76,10,8,0,10,10,10,10,10,5,,4,10,,0,10
prettytable,5048929,6.76,10,3,0,8,10,10,0,10,10,10,7,10,,0,10
aws-cdk-aws-glue,4322058,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-logs-destinations,4266077,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-core,664689,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-s3,655127,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-lambda,646216,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-logs,627203,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-secretsmanager,567635,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-iam,471621,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-ec2,451738,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-events,444196,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-aws-kms,443734,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-cx-api,442005,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-region-info,433626,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
aws-cdk-cloud-assembly-schema,432653,6.76,3,8,0,10,10,10,0,10,10,,5,10,8,0,10
