Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,228790145,8.79,10,8,5,10,10,10,10,10,10,,10,10,5,10,10
apache-airflow,8590516,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-http,2458812,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-amazon,2077377,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-postgres,1779976,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-cncf-kubernetes,1663864,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-sqlite,1646186,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-ftp,1645830,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-imap,1639741,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-mysql,1535309,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-common-sql,1508605,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-snowflake,1464082,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-google,1245421,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-databricks,1000828,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-backport-providers-amazon,713115,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-apache-spark,551171,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-datadog,479868,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-slack,445917,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-ssh,350787,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-microsoft-mssql,316490,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-celery,235189,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
apache-airflow-providers-tableau,221642,8.58,10,6,0,10,10,10,10,10,10,,7,10,8,10,10
