Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,244401112,9.57,10,8,5,9,10,10,10,10,10,10,10,10,10,9,10,10
flatbuffers,8264909,8.60,8,8,0,8,10,10,10,10,10,10,5,10,10,4,10,10
presidio-analyzer,75246,8.20,10,10,0,8,10,10,10,10,10,,7,10,10,,10,10
apache-airflow,11265780,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-common-sql,4156969,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-http,2874459,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-amazon,2655418,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-google,2186338,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cncf-kubernetes,2011933,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mysql,1795506,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-postgres,1727184,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ftp,1679353,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sqlite,1656808,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-imap,1642298,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-snowflake,1584255,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-databricks,1248853,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ssh,1161028,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-slack,1110731,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-amazon,834392,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sftp,605016,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-spark,501654,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-mssql,487780,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-datadog,477424,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mongo,306728,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-oracle,275273,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-pagerduty,273484,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-celery,260972,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hive,258877,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-tableau,214832,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-odbc,193076,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-salesforce,185122,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-docker,185022,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-redis,183813,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jdbc,163285,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-http,142213,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-azure,139498,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-microsoft-azure,134405,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-slack,132818,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-airbyte,129146,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-druid,127782,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-dbt-cloud,126309,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-snowflake,112395,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-ssh,110584,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-presto,101262,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-elasticsearch,100080,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-cncf-kubernetes,96464,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-telegram,90596,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-livy,87530,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jira,86754,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hdfs,84972,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
pytest,43672070,7.70,10,8,0,10,10,10,10,10,10,10,7,0,0,,10,10
google-cloud-storage,48164496,7.60,10,8,0,10,10,10,10,10,10,,5,0,10,,10,10
coverage,28553560,7.38,10,3,5,1,10,10,10,10,10,,9,10,10,,10,10
django-axes,177484,7.33,10,0,0,8,10,10,0,10,10,10,7,9,10,,9,10
numpy,126459235,7.28,10,3,0,8,10,10,10,10,10,10,0,0,9,0,10,10
attrs,96812175,7.22,10,8,5,2,10,10,0,10,10,,7,10,10,,10,10
google-auth-httplib2,21139466,7.22,10,8,0,10,10,10,10,10,5,,5,0,10,,10,10
jsii,959454,7.20,10,8,0,10,10,10,0,10,10,10,,0,10,8,0,10
edk2-pytool-extensions,73248,7.17,10,8,0,10,10,10,0,10,10,,9,9,0,,9,10
pyarrow,65246825,7.10,10,3,0,5,10,10,10,10,10,10,,0,10,,10,10
googleapis-common-protos,64929908,7.10,10,8,0,10,10,10,,10,10,,5,0,10,,10,10
sqlalchemy-bigquery,1053360,7.10,10,8,0,10,10,10,0,10,10,,5,0,10,0,10,10
pybigquery,235934,7.10,10,8,0,10,10,10,0,10,10,,5,0,10,0,10,10
edk2-pytool-library,70444,7.10,10,8,0,9,10,10,0,10,10,,9,9,0,,9,10
google-cloud-bigquery,59128260,7.08,10,1,0,10,10,10,10,10,10,,5,0,10,,10,10
google-cloud-logging,6530910,7.08,10,1,0,10,10,10,10,10,10,,5,0,10,,10,10
cryptography,148627954,7.05,10,8,0,10,10,10,,10,10,,4,0,10,,10,10
google-api-python-client,36326191,7.05,10,8,0,10,10,10,10,10,10,,9,0,10,,0,10
matplotlib,30899412,7.05,10,6,0,10,10,10,10,10,10,,2,10,10,,0,10
google-crc32c,21515301,7.05,10,8,0,9,10,10,10,10,9,10,2,0,10,,0,10
codespell,269075,7.05,10,8,0,10,10,10,0,10,10,10,7,0,0,8,0,10
trufflehog,121543,7.03,10,6,0,9,10,10,0,10,10,10,5,9,9,0,0,10
google-auth,68727991,7.00,10,0,0,10,10,10,10,10,10,,5,0,10,,10,10
ansible-lint,919949,6.97,10,8,2,3,10,10,0,10,10,10,7,10,10,,0,10
brotli,5067374,6.95,10,3,0,6,10,10,10,10,7,,10,0,10,0,10,10
google-cloud-aiplatform,3312074,6.95,10,8,0,8,10,10,0,10,10,,5,0,10,,10,10
zarr,136395,6.95,10,8,0,10,10,10,,10,10,10,7,10,0,,0,10
pillow,47086901,6.92,10,0,2,7,10,10,10,10,10,,7,0,10,,10,10
marshmallow,22089514,6.90,10,3,0,9,10,10,0,10,10,,10,0,10,,10,10
amundsen-common,350611,6.90,10,8,2,10,10,10,0,10,10,10,5,0,10,,0,10
amundsen-databuilder,209160,6.90,10,8,2,10,10,10,0,10,10,10,5,0,10,,0,10
tink,511248,6.88,9,0,0,10,10,10,10,10,10,,9,10,10,0,0,10
google-cloud,4036840,6.85,10,8,0,10,10,10,0,10,10,,0,0,10,,10,10
docker-compose,1793033,6.85,10,8,0,10,10,10,0,10,10,10,,0,0,0,10,10
dash,994882,6.85,10,8,0,10,10,10,0,10,10,,10,0,0,,10,10
gcloud,241379,6.85,10,8,0,10,10,10,0,10,10,,0,0,10,,10,10
google-auth-oauthlib,26544967,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-secret-manager,14899616,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-resource-manager,2408455,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
datadog-api-client,2284781,6.80,10,8,0,10,10,10,0,10,10,10,7,7,0,,0,10
google-cloud-tasks,2010181,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
django-simple-history,626134,6.80,10,6,0,10,10,10,0,10,10,10,7,,10,,0,10
google-cloud-error-reporting,384132,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
pycep-parser,381924,6.80,10,3,0,1,10,10,0,10,10,,10,10,10,,10,10
aiomysql,123968,6.80,10,3,0,7,10,10,0,10,10,10,7,9,10,0,0,10
structlog,3567798,6.78,10,3,5,1,10,10,0,10,10,,7,10,10,,10,10
redis,25506829,6.75,10,1,0,10,10,,10,10,10,10,5,10,0,,9,10
aws-sam-translator,5557984,6.75,10,4,0,10,10,10,0,10,10,,9,10,10,,0,10
grpc-google-iam-v1,15566188,6.72,10,8,0,7,10,10,0,10,8,,5,0,10,,10,10
google-cloud-audit-log,2474201,6.72,10,8,0,10,10,10,0,10,5,,5,0,10,,10,10
scapy,1699494,6.72,10,8,0,7,10,0,10,10,10,,7,10,0,,10,10
google-cloud-firestore,3791505,6.70,10,8,0,10,10,10,10,10,10,,2,0,10,,0,10
ml-wrappers,115199,6.70,10,8,0,10,10,0,0,10,10,10,7,10,10,,0,10
proxy-py,84045,6.70,10,4,0,6,10,10,0,10,10,10,5,9,10,0,0,10
flask,41703767,6.67,10,3,0,6,10,10,10,10,10,,7,0,9,6,0,10
pylint,11502637,6.67,10,7,5,9,10,10,0,10,10,,5,8,9,,0,10
google-resumable-media,39135441,6.65,10,8,0,10,10,10,10,10,8,,4,0,10,,0,10
kedro,505156,6.65,10,9,5,10,10,10,0,10,10,,2,0,0,,10,10
google-cloud-iam,316244,6.65,10,8,0,10,10,10,10,10,8,,4,0,10,,0,10
azure-core,51830696,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-storage-blob,36519092,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-common,32794581,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-identity,21169109,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-nspkg,10773037,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-resource,10303602,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-core,9028607,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
