Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,407606574,8.65,10,,5,9,10,10,10,10,10,5,9,10,10,10,10
tuf,95381,8.16,10,,10,10,10,0,10,10,10,4,10,10,8,10,10
flatbuffers,12736387,7.65,8,,0,5,10,10,10,10,10,0,7,10,10,10,10
requests,333512841,7.51,10,,0,10,10,10,10,10,,10,9,10,0,10,10
in-toto,77545,7.43,10,,10,10,10,0,9,10,10,4,0,10,6,10,10
aiohttp,92767291,7.14,10,,0,7,10,10,9,10,10,0,10,10,8,0,10
google-re2,6539091,7.14,10,0,0,10,10,10,10,10,10,2,0,10,0,10,10
numpy,189047908,7.05,10,,0,10,10,10,9,10,,3,9,9,0,10,10
pillow,65777331,7.05,10,0,2,10,10,10,9,10,10,0,0,10,,10,10
charset-normalizer,276593001,6.97,10,,0,0,10,10,10,10,10,4,10,10,,10,10
yt-dlp,1497665,6.95,10,,0,9,10,0,9,10,10,0,10,0,8,9,10
pybind11,7253350,6.92,10,,0,9,10,10,9,10,10,0,0,10,,10,10
keras-nlp,77718,6.92,10,0,0,10,10,0,10,10,10,1,7,10,,10,10
pybind11-global,61153,6.92,10,,0,9,10,10,9,10,10,0,0,10,,10,10
pyhanko,526358,6.81,10,,0,1,10,0,10,10,10,0,9,10,8,9,10
pem,330075,6.81,10,,5,0,10,10,10,9,10,0,10,10,,10,10
matplotlib,43034414,6.78,10,,0,10,10,10,9,10,10,1,10,10,,0,10
keras,12722218,6.76,10,,0,7,10,10,10,10,10,0,1,10,,9,10
keras-nightly,311420,6.76,10,,0,7,10,10,10,10,10,0,1,10,,9,10
cryptography,192876848,6.68,10,,0,10,10,10,9,10,,4,0,10,,10,10
botocore,344938227,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
sentencepiece,11399907,6.59,10,0,0,2,10,10,10,10,,8,3,10,2,10,10
trufflehog,110228,6.59,9,,0,10,10,0,10,10,10,0,9,9,8,0,9
certifi,302609681,6.57,10,3,0,5,10,0,9,10,10,5,0,10,,10,10
django-axes,247891,6.54,10,0,0,5,10,0,10,10,10,0,10,10,,9,10
pyarrow,83604549,6.51,10,,0,9,10,10,10,10,10,1,0,10,,10,4
markupsafe,118995964,6.43,10,,0,0,10,10,10,10,10,5,0,9,10,0,10
functions-framework,1931239,6.43,10,,0,10,10,0,10,6,10,5,10,0,,10,10
jinja2,94526590,6.41,10,,0,0,10,10,10,10,10,6,0,9,9,0,10
coverage,49714646,6.41,10,,5,0,10,10,10,10,,1,10,10,,10,10
google-cloud-secret-manager,14710967,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-appengine-logging,9200046,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-resource-manager,7785535,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-vision,3993116,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dataproc,3633737,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-kms,3559275,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dlp,3502917,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-monitoring,3138999,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-container,3099048,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-datacatalog,2843750,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-tasks,2760040,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-build,2567424,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-compute,2464181,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-bigquery-datatransfer,2362103,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dataplex,2301470,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-language,2242509,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-videointelligence,2220948,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-automl,2147120,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-workflows,2127210,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-redis,2111934,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dataproc-metastore,1907255,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-orchestration-airflow,1831186,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-translate,1779314,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-memcache,1764862,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-os-login,1719772,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dataform,1498571,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-recommendations-ai,1390741,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-speech,1389360,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-texttospeech,1244651,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-dataflow-client,1165546,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-storage-transfer,790548,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-run,779564,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-batch,744211,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-trace,713123,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-analytics-data,671250,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-iam,289180,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-private-ca,197968,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-os-config,188089,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
google-cloud-filestore,182213,6.38,10,,0,10,10,0,10,10,,0,8,10,,10,10
