Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
types-psutil,211509,4.72,10,,0,10,0,9,10,,6,0,,0,10
ecs-logging,199731,4.72,10,,0,10,0,10,3,,6,10,0,0,10
types-aiofiles,195052,4.72,10,,0,10,0,9,10,,6,0,,0,10
libhoney,192847,4.72,10,,0,10,0,10,10,,4,3,0,0,9
types-bleach,190467,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-colorama,185935,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-tzlocal,178813,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-python-slugify,171347,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-enum34,159574,4.72,10,,0,10,0,9,10,,6,0,,0,10
stumpy,159443,4.72,10,0,0,10,0,9,10,,6,0,,0,10
grpc-interceptor,154956,4.72,10,0,0,10,0,10,5,10,6,0,,0,8
types-emoji,153219,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-psycopg2,148823,4.72,10,,0,10,0,9,10,,6,0,,0,10
google-cloud-os-config,146347,4.72,10,,0,10,0,10,5,,3,10,,0,10
types-maxminddb,143469,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-appdirs,140849,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-orjson,134052,4.72,10,,0,10,0,9,10,,6,0,,0,10
fairlearn,112206,4.72,10,,0,10,0,10,10,10,6,0,,0,3
pyomo,106513,4.72,10,,0,10,0,9,10,,6,0,0,0,10
bleak,106045,4.72,10,0,0,10,0,10,10,,7,0,,0,9
types-filelock,103976,4.72,10,,0,10,0,9,10,,6,0,,0,10
pyqtgraph,103646,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-dateparser,103363,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-beautifulsoup4,102900,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-typed-ast,101197,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-geoip2,99211,4.72,10,,0,10,0,9,10,,6,0,,0,10
flask-sock,98599,4.72,10,0,0,10,0,10,6,,6,10,,0,7
no-manylinux,98251,4.72,10,0,0,10,0,10,7,,10,0,,0,10
edk2-pytool-extensions,96130,4.72,10,,0,10,0,9,10,,6,0,,0,10
django-ordered-model,93708,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-sqlalchemy,93708,4.72,10,,0,10,0,9,10,,6,0,,0,10
edk2-pytool-library,91681,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-backports,90400,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-frozendict,90004,4.72,10,,0,10,0,9,10,,6,0,,0,10
deepdiff6,89829,4.72,10,,0,10,0,9,10,,6,0,,0,10
typeshed-client,88987,4.72,10,,0,10,0,10,3,10,6,0,,0,10
configspace,86147,4.72,10,,0,10,0,9,10,,6,0,0,0,10
types-html5lib,85841,4.72,10,,0,10,0,9,10,,6,0,,0,10
types-pyasn1,81754,4.72,10,,0,10,0,9,10,,6,0,,0,10
traits,81447,4.72,10,,0,10,0,9,10,,6,0,,0,10
xlwings,81291,4.72,10,,0,10,0,9,10,,6,0,0,0,10
klein,80243,4.72,10,,0,10,0,9,10,,6,0,,0,10
exceptiongroup,40574085,4.69,10,0,0,10,0,9,3,10,6,0,,0,10
prompt-toolkit,21784992,4.69,10,,0,10,10,10,2,,7,0,,0,10
gast,12807546,4.69,10,0,0,10,10,10,2,,7,0,,0,10
mlflow,10151615,4.69,10,,0,10,0,10,10,10,0,10,,0,0
tensorflow-io-gcs-filesystem,7031924,4.69,10,,0,10,0,10,5,10,4,0,,0,9
gradio,3807959,4.69,10,,0,10,0,10,10,10,0,10,,0,0
munch,3124443,4.69,10,0,0,10,0,10,2,10,7,0,,0,10
cx-oracle,2704586,4.69,10,,0,,10,9,7,,10,10,,,10
gradio-client,1972217,4.69,10,,0,10,0,10,10,10,0,10,,0,0
pydeprecate,1768048,4.69,10,,2,10,0,10,4,10,6,0,,0,8
tensorflow-io,1737531,4.69,10,,0,10,0,10,5,10,4,0,,0,9
mlflow-skinny,1649376,4.69,10,,0,10,0,10,10,10,0,10,,0,0
colorclass,552284,4.69,10,,0,10,0,10,4,10,4,0,,0,10
strictyaml,491411,4.69,10,,0,10,0,10,10,,5,0,,0,10
policy-sentry,456254,4.69,10,0,0,10,0,10,0,10,4,9,,0,8
numpyro,203755,4.69,10,,0,10,0,10,10,,5,0,,0,10
whatthepatch,175318,4.69,10,,0,10,0,10,2,10,7,0,0,0,10
mmdet,164081,4.69,10,,0,10,0,10,10,,5,0,,0,10
pytest-datadir,131481,4.69,10,0,0,10,0,9,3,10,6,0,,0,10
django-recaptcha,124969,4.69,10,,0,10,0,10,2,,7,10,0,0,10
lasio,110921,4.69,10,,0,10,0,10,10,,5,0,0,0,10
stable-baselines3,107457,4.69,10,,0,10,0,10,10,,5,0,,0,10
torchvision,5968076,4.66,9,,0,10,0,10,10,,6,0,0,0,10
fiona,4874542,4.66,10,0,0,10,0,10,10,,6,0,,0,9
dateparser,4543939,4.66,10,0,0,10,0,10,9,,6,0,,0,10
pipreqs,2300265,4.66,10,0,0,10,0,10,10,,6,0,,0,9
launchdarkly-server-sdk,1455247,4.66,10,,0,10,0,9,10,,8,0,,0,8
pytest-sugar,738932,4.66,10,0,0,10,0,9,10,,5,0,0,0,10
django-crispy-forms,724381,4.66,10,0,0,10,0,10,9,,6,0,,0,10
django-ses,523293,4.66,10,,0,10,0,10,10,,6,0,,0,9
polars,470909,4.66,10,,0,10,0,10,10,,6,0,,0,9
panel,326528,4.66,10,,0,10,0,10,10,,6,0,,0,9
pylibftdi,303752,4.66,10,0,0,10,0,9,10,,5,0,,0,10
commitizen,222458,4.66,10,0,0,10,0,10,10,,6,0,,0,9
dask-ml,169885,4.66,10,0,0,10,0,10,3,,6,9,,0,10
djangorestframework-dataclasses,127869,4.66,10,0,0,10,0,10,9,,6,0,,0,10
pytest-cases,110081,4.66,10,0,0,10,0,10,1,10,8,0,,0,10
meraki,81332,4.66,10,0,0,10,0,10,10,,6,0,,0,9
google-cloud-storage,40155313,4.62,10,,0,,10,10,10,,4,10,,,10
wcwidth,31492052,4.62,10,,0,10,0,9,0,,9,0,,9,8
google-cloud-bigquery,27918162,4.62,10,,0,,10,10,10,,4,10,,,10
oscrypto,22849743,4.62,10,0,0,10,10,10,0,,9,0,,0,10
kubernetes,13414774,4.62,10,,0,10,0,10,10,,0,10,,0,6
asttokens,8707843,4.62,10,0,0,10,10,10,2,,6,0,,0,10
aiofiles,7481662,4.62,10,0,0,10,0,10,3,,6,10,,0,9
opencv-python,7472055,4.62,10,,0,10,0,10,10,,4,0,,0,10
fastavro,7343732,4.62,10,0,0,10,0,10,10,,4,0,0,0,10
iso8601,3614800,4.62,10,,0,10,0,10,8,,7,0,0,0,10
parse,3128596,4.62,10,0,0,10,10,10,0,,9,0,,0,10
autopep8,2978482,4.62,10,,0,10,10,10,2,,6,0,,0,10
tableauserverclient,2542653,4.62,10,,0,10,0,10,2,10,6,0,0,0,10
ephem,2520870,4.62,10,0,0,10,0,9,1,10,8,0,,0,10
opencv-python-headless,2407723,4.62,10,,0,10,0,10,10,,4,0,,0,10
google-cloud-dataproc,2289389,4.62,10,,0,10,0,10,4,,3,10,,0,10
google-cloud-automl,1676308,4.62,10,,0,10,0,10,4,,3,10,,0,10
sacrebleu,1283456,4.62,10,,0,10,0,10,8,,7,0,,0,10
category-encoders,1262905,4.62,10,0,0,10,0,10,10,10,6,0,,0,2
google-cloud-translate,1124113,4.62,10,,0,10,0,10,4,,3,10,,0,10
pymemcache,1098890,4.62,10,,0,10,0,10,2,,7,9,0,0,10
opencv-contrib-python,970446,4.62,10,,0,10,0,10,10,,4,0,,0,10
testcontainers,790631,4.62,10,,0,10,0,10,10,,4,0,,0,10
questionary,752080,4.62,10,,0,10,0,10,10,,4,0,,0,10
falcon,589384,4.62,10,,0,10,0,10,10,,4,0,0,0,10
google-cloud-dataflow-client,560782,4.62,10,,0,10,0,10,4,,3,10,,0,10
slack-bolt,430582,4.62,10,,0,10,0,10,10,,4,0,,0,10
zigpy-xbee,419723,4.62,10,,0,10,0,10,2,10,6,0,,0,10
funcx-endpoint,414548,4.62,10,,0,10,0,10,10,,4,0,,0,10
funcx,388477,4.62,10,,0,10,0,10,10,,4,0,,0,10
pip-licenses,300991,4.62,10,0,0,10,0,10,10,,4,0,,0,10
griffe,292334,4.62,10,0,0,10,0,10,10,,4,0,,0,10
yamlpath,259120,4.62,10,,0,10,0,10,2,10,6,0,0,0,10
python-semantic-release,241134,4.62,10,0,0,10,0,10,10,,4,0,0,0,10
mkdocstrings,229398,4.62,10,,0,10,0,10,10,,4,0,,0,10
opencv-contrib-python-headless,217895,4.62,10,,0,10,0,10,10,,4,0,,0,10
django-colorfield,191547,4.62,10,,0,10,0,10,10,10,6,3,,0,0
sampleproject,181659,4.62,10,,0,10,0,10,2,10,6,0,,0,10
mkdocstrings-python,179121,4.62,10,0,0,10,0,10,10,,4,0,,0,10
google-cloud-org-policy,161109,4.62,10,,0,10,0,10,4,,3,10,,0,10
sentinelhub,160329,4.62,10,,0,10,0,10,10,,4,0,0,0,10
recordlinkage,149341,4.62,10,0,0,10,0,10,2,10,6,0,0,0,10
python-on-whales,141154,4.62,10,,0,10,0,10,10,,4,0,,0,10
atc-dataplatform,140652,4.62,10,,0,10,0,10,2,10,6,0,,0,10
csvkit,131075,4.62,10,0,0,10,0,10,8,,7,0,,0,10
sqlalchemy-cockroachdb,116784,4.62,10,,0,10,0,10,8,,7,0,,0,10
django-autoslug,105118,4.62,10,0,0,10,0,10,8,,7,0,0,0,10
sshuttle,95588,4.62,10,,0,10,0,10,8,,7,0,,0,10
skyfield-data,93948,4.62,10,0,0,10,0,10,8,,7,0,,0,10
pytorch-ignite,87623,4.62,10,,0,10,0,10,10,,4,0,,0,10
kivy,82679,4.62,10,,0,10,0,10,10,,4,0,0,0,10
camel-converter,81996,4.62,10,,0,10,0,10,10,,4,0,,0,10
pycobertura,81846,4.62,10,,0,10,0,10,8,,7,0,,0,10
mypy,9937071,4.59,10,,0,10,0,9,10,,4,0,,0,10
nodeenv,8850238,4.59,10,0,0,10,0,9,8,,7,0,,0,10
pyathena,6381427,4.59,10,,0,10,0,10,10,,8,0,0,0,7
pymssql,5717766,4.59,10,0,0,10,0,10,9,,5,0,0,0,10
multimethod,1034906,4.59,10,,0,10,0,9,2,10,6,0,,0,10
python-rapidjson,996055,4.59,10,,0,10,0,9,2,10,6,0,,0,10
parsimonious,851881,4.59,10,0,0,10,10,10,1,,7,0,,0,10
gcovr,534220,4.59,10,,0,10,0,9,10,,4,0,0,0,10
funcx-common,388028,4.59,10,,0,10,0,10,9,,5,0,,0,10
sqllineage,203831,4.59,10,,0,10,0,10,10,,5,0,0,0,9
django-constance,169338,4.59,10,,0,10,0,10,5,10,6,10,,0,0
opentelemetry-exporter-gcp-trace,165880,4.59,10,,0,10,0,10,10,,5,0,,0,9
pandas-flavor,101203,4.59,10,0,0,10,0,10,3,10,4,0,,0,10
aws-lambda-typing,94992,4.59,10,,0,10,0,10,7,,8,0,,0,10
django-sekizai,91359,4.59,10,,0,10,0,9,5,10,6,0,,0,7
opentelemetry-propagator-gcp,86681,4.59,10,,0,10,0,10,10,,5,0,,0,9
diffq,80657,4.59,10,0,0,10,0,9,2,,7,9,,0,10
mkdocs-awesome-pages-plugin,80254,4.59,10,0,0,10,0,10,8,,8,0,,0,9
scipy,53304193,4.56,10,,0,,10,10,10,,4,9,0,,10
portalocker,31023927,4.56,10,0,0,10,0,10,0,,6,0,8,0,10
pygithub,8652727,4.56,10,,0,10,0,10,10,,6,0,,0,8
lz4,6629826,4.56,10,,0,10,0,10,0,10,8,0,,0,10
billiard,5320983,4.56,10,,0,10,0,9,1,,7,10,,0,10
makefun,4345812,4.56,10,0,0,10,0,10,0,10,8,0,,0,10
marshmallow-dataclass,2554526,4.56,10,0,0,10,0,10,8,,6,0,,0,10
tensorflow-probability,1036104,4.56,10,,0,10,0,10,10,,3,0,,0,10
robotframework-requests,1009189,4.56,10,,0,10,0,10,8,,6,0,,0,10
