Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,395719124,8.54,10,,5,8,10,10,10,10,10,5,10,10,9,10,10
tuf,61209,8.16,10,,10,10,10,0,10,10,10,4,10,10,8,10,10
flatbuffers,13067553,7.73,10,,0,7,10,10,10,10,10,0,7,10,9,10,8
requests,321150859,7.57,10,,0,10,10,10,10,10,,10,10,10,0,10,10
charset-normalizer,277662353,7.54,10,,0,1,10,10,10,10,10,4,10,10,6,10,10
numpy,169212007,6.97,10,,0,10,10,10,10,10,,,10,9,0,10,10
pyhanko,499865,6.86,10,,0,1,10,0,10,10,10,0,10,10,8,9,10
defusedxml,22131021,6.84,10,0,0,0,10,10,9,10,10,0,0,10,8,10,10
pybind11,6467782,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
pybind11-global,54493,6.84,10,,0,8,10,10,9,10,10,0,0,10,,10,10
red-discordbot,37314,6.70,10,8,0,8,10,0,10,10,10,0,10,10,,0,10
functions-framework,2921511,6.68,10,,0,10,10,0,10,9,10,5,10,0,,10,10
botocore,354781524,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
cryptography,225238452,6.59,10,,0,10,10,10,9,10,,4,0,10,,9,10
codespell,522368,6.59,10,,0,10,10,0,10,10,10,0,0,0,8,10,10
click,136831783,6.57,10,,0,1,10,10,10,10,10,6,0,9,10,0,10
flask,88003901,6.54,10,,0,4,10,10,10,10,10,4,0,9,9,0,9
presidio-analyzer,138970,6.54,10,,0,10,10,0,10,10,,1,10,10,,10,10
presidio-anonymizer,76070,6.54,10,,0,10,10,0,10,10,,1,10,10,,10,10
aiohttp,73439058,6.51,10,,0,5,10,10,9,10,10,0,9,10,3,0,10
pyarrow,72403466,6.46,10,,0,9,10,10,10,10,10,,0,10,,10,4
twisted,3510167,6.46,10,,0,10,10,0,9,10,10,0,0,10,,10,10
markupsafe,118857309,6.43,10,,0,0,10,10,10,10,10,5,0,9,10,0,10
certifi,279118230,6.41,10,3,0,3,10,0,9,10,10,5,0,10,,10,10
coverage,62895864,6.41,10,,5,0,10,10,10,10,,1,10,10,,10,10
attrs,108748451,6.35,10,,5,2,10,0,10,10,10,0,7,10,,10,10
scapy,2108889,6.32,10,,0,8,10,10,10,10,,0,10,0,,10,10
google-re2,1799648,6.32,10,0,0,10,10,10,10,10,10,2,0,10,0,0,10
jsii,1744685,6.32,10,,0,10,10,0,10,10,10,,0,10,8,0,10
django-axes,216059,6.30,10,0,0,2,10,0,10,10,10,0,10,10,,9,10
in-toto,66802,6.30,10,,10,10,10,0,9,10,,5,0,10,8,0,10
