Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions
urllib3,1424208495,8.59,10,8,5,9,10,10,10,10,10,8,10,10,0,10
openexr,677372,8.47,10,,5,7,10,10,10,10,10,9,10,10,8,10
tuf,247174,8.35,10,8,10,10,10,0,10,10,10,4,10,10,4,10
awslabs-aws-api-mcp-server,1093963,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-documentation-mcp-server,914096,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-dynamodb-mcp-server,862005,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-healthomics-mcp-server,581233,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-s3-tables-mcp-server,479474,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-pricing-mcp-server,343301,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-billing-cost-management-mcp-server,296904,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-mcp-server,291520,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-diagram-mcp-server,256720,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cost-explorer-mcp-server,222880,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-dataprocessing-mcp-server,200229,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-redshift-mcp-server,183667,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-mysql-mcp-server,164982,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-eks-mcp-server,159308,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-core-mcp-server,142183,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-bedrock-kb-retrieval-mcp-server,140874,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudtrail-mcp-server,120092,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cloudwatch-appsignals-mcp-server,118380,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-stepfunctions-tool-mcp-server,116641,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cfn-mcp-server,113690,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-iam-mcp-server,108402,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-syntheticdata-mcp-server,103213,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-cdk-mcp-server,100582,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-nova-canvas-mcp-server,92957,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-iac-mcp-server,92028,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-git-repo-research-mcp-server,89876,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-ecs-mcp-server,84345,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-postgres-mcp-server,83807,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-serverless-mcp-server,79764,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-frontend-mcp-server,79430,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aurora-dsql-mcp-server,78279,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-msk-mcp-server,75103,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-aws-support-mcp-server,74888,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-well-architected-security-mcp-server,72564,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-neptune-mcp-server,70692,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-sns-sqs-mcp-server,69483,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-prometheus-mcp-server,68317,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-elasticache-mcp-server,68288,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-kendra-index-mcp-server,67462,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-mq-mcp-server,67343,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-timestream-for-influxdb-mcp-server,66572,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-lambda-tool-mcp-server,64358,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-terraform-mcp-server,62630,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-finch-mcp-server,61887,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-memcached-mcp-server,61676,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-bedrock-agentcore-mcp-server,61420,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
awslabs-amazon-keyspaces-mcp-server,58583,8.32,10,10,5,10,10,0,10,10,10,10,9,10,,10
pylint,52709526,8.18,10,8,5,10,10,0,10,10,10,0,10,9,8,9
gdal,461129,7.91,10,,5,3,10,10,9,10,10,8,9,9,8,10
astroid,49986156,7.76,10,8,0,10,10,10,10,10,10,0,9,9,8,0
matplotlib,199238566,7.74,10,8,0,10,10,10,9,10,,6,9,10,,10
astropy,3795131,7.71,10,8,0,10,10,0,10,10,10,7,7,10,,10
sigstore-protobuf-specs,105824,7.71,10,,0,10,10,0,10,10,10,8,9,10,6,10
tbb,1887896,7.59,10,4,2,10,10,10,10,10,,8,9,10,0,10
tbb-devel,81335,7.59,10,4,2,10,10,10,10,10,,8,9,10,0,10
crytic-compile,167993,7.56,10,4,0,5,10,0,10,10,10,4,9,10,8,10
clang-format,3590594,7.53,0,3,5,9,10,10,9,10,10,5,7,9,8,10
clang-tidy,280033,7.53,0,3,5,9,10,10,9,10,10,5,7,9,8,10
oauthlib,306519268,7.50,10,6,0,8,10,10,10,10,10,0,8,10,,9
cheroot,2250774,7.50,10,8,2,10,10,0,10,10,10,1,10,10,9,0
nncf,437210,7.50,10,5,0,10,10,10,10,10,,5,10,10,,10
attrs,665400038,7.47,10,,5,3,10,10,10,10,10,10,10,10,,10
sentencepiece,33802909,7.47,10,0,0,10,10,10,10,10,,4,6,10,8,10
umf,474718,7.47,10,5,0,8,10,10,9,10,,8,10,10,,10
requests,1291814272,7.41,10,,0,6,10,10,10,10,10,7,10,10,0,10
presidio-analyzer,4762798,7.41,10,8,0,7,10,0,10,10,10,5,10,10,,9
presidio-anonymizer,3569271,7.41,10,8,0,7,10,0,10,10,10,5,10,10,,9
ops,395590,7.41,10,4,2,10,10,0,10,10,10,4,10,10,,10
ops-scenario,103256,7.41,10,4,2,10,10,0,10,10,10,4,10,10,,10
niquests,2039574,7.38,10,,5,2,10,0,10,10,10,5,10,10,10,10
homeassistant,1293205,7.38,10,5,0,10,10,0,10,10,10,7,7,9,,10
langsmith,76734655,7.29,10,8,0,9,10,0,10,10,10,0,10,10,,9
packaging,1577819710,7.24,4,,0,10,10,10,9,10,10,10,10,9,,9
west,1736934,7.18,10,6,0,10,10,0,10,10,10,8,10,0,0,10
home-assistant-frontend,126037,7.18,10,4,0,9,10,0,9,10,10,7,10,9,0,8
aiobotocore,971988074,7.15,10,8,0,1,10,0,10,10,10,8,10,10,,10
crowdstrike-falconpy,2239392,7.15,10,5,0,10,10,0,10,10,10,2,7,10,,10
twine,28231834,7.12,8,,0,10,10,0,10,10,10,4,10,0,10,10
flask,220208337,7.09,10,3,0,0,10,10,10,10,10,8,0,9,6,10
pymongocrypt,1138359,7.09,10,5,0,10,10,10,10,10,10,1,10,0,8,0
numpy,871842108,7.06,10,3,0,10,10,10,9,10,,3,9,9,0,10
multidict,425976124,7.06,10,3,0,6,10,10,9,10,10,0,10,10,8,0
pytest-asyncio,160532711,7.06,10,,0,10,10,0,10,10,10,5,10,10,0,10
onnx,16658084,7.06,10,,5,10,10,0,10,10,10,4,10,10,,9
urllib3-future,2121253,7.06,10,,0,2,10,0,10,10,10,2,10,10,10,10
onnx-weekly,368857,7.06,10,,5,10,10,0,10,10,10,4,10,10,,9
cryptography,957699989,7.00,10,,0,10,10,10,9,10,10,6,0,10,,9
lakefs-sdk,2341803,7.00,8,8,0,10,10,10,10,10,10,0,10,10,0,0
lakefs,2088126,7.00,8,8,0,10,10,10,10,10,10,0,10,10,0,0
cirq-core,575213,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
lakefs-client,255130,7.00,8,8,0,10,10,10,10,10,10,0,10,10,0,0
cirq,140889,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
cirq-google,135570,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
git-cliff,134203,7.00,10,0,0,8,10,0,10,10,10,10,10,10,8,0
cirq-ionq,117352,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
cirq-aqt,115562,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
cirq-web,113502,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
cirq-pasqal,111182,7.00,10,,2,10,10,10,10,10,,3,10,10,0,10
typing-extensions,1293719496,6.97,10,,0,10,10,10,9,10,10,4,0,10,,10
