Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,313242013,8.86,10,,5,10,10,10,10,10,10,8,10,10,9,10,10
flatbuffers,9641288,7.70,10,,0,4,10,10,10,10,10,4,7,10,9,10,8
charset-normalizer,217978107,7.35,10,,0,1,10,10,10,10,10,6,9,10,3,10,10
requests,272105777,7.32,10,,0,9,10,10,10,10,,8,9,10,0,10,10
numpy,149073963,7.11,10,,0,10,10,10,10,10,,4,10,9,0,9,10
pyhanko,338187,7.11,10,,0,0,10,0,10,10,10,6,10,10,8,9,10
pybind11,4564181,7.08,10,,0,7,10,10,9,10,10,6,0,10,,10,10
redis,25707838,7.00,10,,0,10,10,10,10,10,10,4,10,0,,9,8
attrs,103669395,6.86,10,,5,1,10,0,10,10,10,8,10,10,,10,10
argon2-cffi,8045157,6.78,10,,5,0,10,0,10,10,10,8,10,10,,10,10
service-identity,1979627,6.78,10,,5,0,10,0,10,10,10,8,10,10,,10,10
django-axes,235999,6.78,10,0,0,4,10,0,10,10,10,6,10,10,,9,10
functions-framework,2824406,6.76,10,,0,10,10,0,10,10,10,6,9,0,,10,10
scapy,1978212,6.73,10,,0,9,10,10,10,10,,6,10,0,,10,10
click,101996647,6.68,10,,0,1,10,10,10,10,10,8,0,9,10,0,10
coverage,52414021,6.68,10,,5,0,10,10,10,10,,6,10,10,,10,10
pillow,50952042,6.68,10,0,2,8,10,10,9,10,,6,0,10,,10,10
presidio-analyzer,180139,6.68,10,,0,9,10,0,10,10,,5,10,10,,10,10
presidio-anonymizer,121995,6.68,10,,0,9,10,0,10,10,,5,10,10,,10,10
structlog,7572796,6.65,10,,5,0,10,0,9,10,10,6,10,10,,10,10
twisted,2644819,6.62,10,,0,8,10,0,9,10,10,6,0,10,,10,10
cryptography,156673182,6.59,10,,0,10,10,10,9,10,,4,0,10,,9,10
markupsafe,97236600,6.59,10,,0,0,10,10,10,10,10,8,0,9,10,0,10
hiredis,2820586,6.54,10,0,0,10,10,10,9,8,10,6,0,0,,9,10
ml-wrappers,120910,6.54,10,,0,10,10,0,10,10,10,6,10,10,,0,10
flask,63813660,6.51,10,,0,0,10,10,10,10,10,8,0,9,9,0,10
pem,334461,6.51,10,,5,0,10,10,10,10,10,8,10,10,,0,10
aiohttp,59720088,6.46,10,,0,4,10,10,9,10,10,4,10,10,0,0,10
multidict,59793975,6.43,10,,0,3,10,10,9,10,10,6,9,10,0,0,10
black,16635615,6.43,10,,0,10,10,10,10,10,10,4,0,10,0,0,10
tink,169012,6.43,9,,0,10,10,10,10,10,,7,10,10,0,0,9
pyarrow,70674226,6.38,10,,0,8,10,10,10,10,10,,0,10,,10,4
yarl,61147449,6.35,10,,0,1,10,10,10,10,10,6,10,10,0,0,10
ansible-lint,1033018,6.27,10,,5,5,10,0,10,10,10,6,10,10,,0,10
trufflehog,103097,6.27,9,,0,10,10,0,10,10,10,6,9,9,0,0,9
onnx,2783198,6.24,10,,5,10,10,0,10,10,,8,10,10,0,0,10
onnxconverter-common,577021,6.19,10,,0,10,10,0,10,2,,9,9,10,0,9,10
meson,532778,6.19,10,,0,7,10,0,10,10,10,2,10,0,8,0,10
httpx,14001160,6.16,10,,0,10,10,10,10,10,,9,0,10,,0,10
httpcore,13920126,6.16,10,,0,10,10,10,10,10,,9,0,10,,0,10
jsii,1557492,6.16,10,,0,10,10,0,10,10,10,,0,10,8,0,8
pycparser,96866013,6.14,10,0,0,3,10,10,9,7,,9,0,10,,10,10
gunicorn,26252294,6.14,10,,0,8,10,10,9,10,,7,0,0,0,10,10
pytest,53756961,6.11,10,,0,10,10,0,10,10,10,6,0,0,,9,9
aws-sam-translator,9039358,6.11,10,,0,10,10,0,10,10,,9,9,10,,0,10
immutabledict,607749,6.11,10,,0,1,10,0,10,10,10,8,10,0,,9,10
pycep-parser,477181,6.11,10,,0,0,10,0,10,10,10,8,,10,,10,10
codespell,391975,6.11,10,,0,10,10,0,10,10,10,6,0,0,8,0,10
aqtinstall,107159,6.08,10,0,0,5,10,0,10,10,10,6,9,10,0,0,10
werkzeug,72515303,6.05,10,,0,0,10,0,10,10,10,8,0,9,10,0,10
pyparsing,70528304,6.05,10,,0,0,10,10,10,10,,7,0,10,0,10,10
google-api-python-client,45170387,6.05,10,,0,10,10,10,10,10,,7,0,10,,0,10
skl2onnx,546316,6.05,10,,0,8,10,0,10,10,,9,9,0,0,9,9
connexion,3768039,6.03,10,,0,9,10,10,9,10,10,6,0,10,,0,5
artifacts-keyring,543758,6.03,10,,0,8,10,0,10,8,,9,0,10,,9,10
tensorstore,408660,6.03,10,0,0,10,10,0,9,10,10,7,0,10,,0,10
zipp,124661242,6.00,10,0,0,0,10,10,10,10,,6,0,10,,10,10
matplotlib,29996782,6.00,10,,0,10,10,10,0,10,,2,9,10,,0,10
seaborn,9673504,6.00,10,0,0,4,10,0,10,10,,6,4,10,0,10,10
configparser,8989054,6.00,10,0,0,0,10,10,10,10,,6,0,10,,10,10
djangorestframework-simplejwt,1298958,6.00,10,,0,10,10,0,10,10,10,6,0,10,,0,10
django-simple-history,885025,6.00,10,,0,10,10,0,10,10,10,6,0,10,,0,10
django-auditlog,136095,6.00,10,,0,10,10,0,10,10,10,6,0,10,0,0,10
lxml,60649521,5.97,10,,0,0,10,10,9,10,,6,0,10,0,10,10
django-redis,1570353,5.97,10,0,0,10,10,0,9,10,10,6,0,10,,0,10
django-oauth-toolkit,378654,5.97,10,,0,10,10,0,9,10,10,6,0,10,,0,10
filelock,56479119,5.95,10,0,0,3,10,10,9,10,10,6,0,10,,0,10
astroid,11556027,5.95,10,,0,10,10,0,10,10,,6,10,9,,0,10
bokeh,3184757,5.95,10,,0,6,10,0,10,10,10,4,7,10,,0,10
pandas,118220370,5.92,10,,0,9,10,10,10,10,,0,7,9,0,0,10
pylint,11763710,5.92,10,,5,10,10,0,10,10,,4,9,9,,0,10
jinja2,92402128,5.89,10,,0,0,10,10,10,10,,8,0,9,8,0,10
applicationinsights,8189550,5.89,10,,0,10,10,0,10,10,,7,7,10,,0,10
ggshield,100560,5.89,10,,0,10,10,0,10,10,10,4,0,10,0,0,10
pycryptodomex,28439335,5.86,10,0,0,2,10,10,9,10,,6,8,0,8,0,10
pycryptodome,19755432,5.86,10,0,0,2,10,10,9,10,,6,8,0,8,0,10
constructs,7949688,5.86,10,,0,10,10,0,10,10,,6,0,10,,5,10
