Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
apache-airflow,8590516,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-http,2458812,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-amazon,2077377,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-postgres,1779976,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cncf-kubernetes,1663864,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sqlite,1646186,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ftp,1645830,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-imap,1639741,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mysql,1535309,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-common-sql,1508605,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-snowflake,1464082,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-google,1245421,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-databricks,1000828,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-amazon,713115,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-spark,551171,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-datadog,479868,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-slack,445917,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ssh,350787,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-mssql,316490,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-celery,235189,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-tableau,221642,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-docker,216910,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jdbc,207555,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-oracle,204992,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hive,196548,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-odbc,186384,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sftp,161481,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-pagerduty,145098,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-redis,140415,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-cncf-kubernetes,137121,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-airbyte,135054,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mongo,127594,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sendgrid,112267,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-microsoft-azure,111648,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-papermill,98621,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-salesforce,92366,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-telegram,83532,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-dbt-cloud,80283,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-presto,79788,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hdfs,79050,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-azure,76628,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jira,68046,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-ssh,65971,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-snowflake,65928,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-livy,64474,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-http,60746,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
flatbuffers,7408761,7.67,10,8,0,9,10,10,10,10,10,,5,,10,2,10,10
trufflehog,126710,7.08,10,6,0,9,10,10,0,10,10,10,5,9,10,0,0,10
proxy-py,111258,6.97,10,4,0,9,10,10,0,10,10,10,5,10,10,0,0,10
ansible-lint,748295,6.95,10,8,0,10,10,10,0,10,10,10,7,0,10,,0,10
google-cloud,2388943,6.90,10,8,0,10,10,10,0,10,6,,7,0,10,,10,10
amundsen-common,390524,6.90,10,8,2,10,10,10,0,10,10,10,5,,10,,0,10
amundsen-databuilder,201135,6.90,10,8,2,10,10,10,0,10,10,10,5,,10,,0,10
aiomysql,133962,6.88,10,3,0,8,10,10,0,10,10,10,7,9,10,0,0,10
google-cloud-pubsub,29456587,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-resource-manager,1380482,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
pylint,11371131,6.78,10,8,5,10,10,10,0,10,10,,2,9,10,,0,10
idna-ssl,2822498,6.72,10,3,0,10,10,10,0,10,0,,10,10,10,,10,10
ddtrace,3330064,6.70,10,10,0,10,10,10,0,10,10,10,0,9,0,,0,10
jsii,840103,6.70,10,8,0,10,10,10,0,10,10,,,,10,8,0,10
bokeh,3870042,6.67,10,3,0,6,10,10,,10,10,10,5,10,10,,0,10
checkov,877844,6.65,10,6,2,4,10,10,0,10,10,10,2,10,10,,0,10
aws-lambda-builders,616624,6.62,10,10,0,10,10,0,0,10,10,,9,0,10,,9,10
