Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,307015341,8.81,10,,5,10,10,10,10,10,10,10,9,10,10
flatbuffers,10165646,8.25,10,,0,10,10,10,10,10,5,10,8,10,10
markupsafe,96528777,7.75,10,,0,10,10,10,10,10,10,9,10,0,10
apache-airflow,10911128,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-common-sql,4996783,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-http,4222026,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-amazon,2827132,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-mysql,2056124,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-snowflake,1974921,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-cncf-kubernetes,1843775,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-sqlite,1747472,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-imap,1723929,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-databricks,1683786,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-ftp,1626314,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-slack,1452457,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-google,1356908,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-ssh,1223495,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-amazon,825912,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-microsoft-mssql,706910,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-postgres,672362,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-sftp,537449,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-apache-spark,498814,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-datadog,430746,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-pagerduty,346126,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-celery,344986,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-apache-hive,336810,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-jdbc,316712,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-mongo,298361,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-dbt-cloud,285403,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-http,277196,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-odbc,251849,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-apache-livy,220681,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-apache-spark,215675,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-docker,215250,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-tableau,211354,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-cncf-kubernetes,201872,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-docker,198087,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-redis,186469,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-microsoft-azure,184285,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-presto,167157,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-apache-beam,161726,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-oracle,158263,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-salesforce,154392,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-apache-livy,150271,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-papermill,149843,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-jenkins,134818,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-vertica,126525,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-neo4j,100751,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-airbyte,98823,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-snowflake,96987,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-backport-providers-ssh,96670,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-apache-druid,92970,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-sendgrid,86842,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-cloudant,86233,7.47,10,,0,10,10,10,10,,7,10,8,10,7
apache-airflow-providers-asana,81261,7.47,10,,0,10,10,10,10,,7,10,8,10,7
tqdm,57340935,7.44,10,,5,10,10,9,10,,10,0,8,10,10
coverage,54845937,7.28,10,,5,10,10,10,10,,9,10,,10,10
flask,46177858,7.19,10,,0,10,10,10,10,10,10,9,6,0,8
attrs,112917015,7.16,10,,5,10,0,10,10,10,7,10,,10,10
dill,22018632,7.16,10,0,0,10,10,9,10,,10,10,0,10,10
pyparsing,70955569,7.12,10,,0,10,10,10,10,,9,10,0,10,10
structlog,6579844,7.12,10,,5,10,0,9,10,10,7,10,,10,10
pycparser,97405485,7.09,10,0,0,10,10,9,10,,9,10,,10,10
werkzeug,56674075,7.03,10,,0,10,0,10,10,10,10,9,9,0,10
pillow,52943093,7.03,10,0,2,10,10,9,10,,7,10,,10,10
jsonnet,212415,7.00,10,0,0,10,10,10,10,,7,10,0,10,10
twisted,2663157,6.97,10,,0,10,0,9,10,10,7,10,,10,10
jinja2,93583317,6.94,10,,0,10,10,10,10,,10,9,8,0,10
requests,289840423,6.91,10,,0,10,10,10,9,,7,10,0,10,10
django-axes,229470,6.91,10,0,0,10,0,10,10,10,7,10,,9,10
google-auth,77263646,6.88,10,,0,10,10,10,10,,5,10,,10,10
google-cloud-storage,42365184,6.88,10,,0,10,10,10,10,,5,10,,10,10
google-cloud-bigquery,33268186,6.88,10,,0,10,10,10,10,,5,10,,10,10
google-cloud-logging,6215080,6.88,10,,0,10,10,10,10,,5,10,,10,10
hiredis,2994207,6.88,10,0,0,10,10,9,10,10,7,0,,9,10
scipy,54387594,6.81,10,,0,10,10,10,10,,5,9,0,10,10
brotli,7019497,6.81,10,,0,10,10,10,6,,10,10,0,10,10
bidict,1202964,6.81,10,,5,10,0,10,7,10,7,9,,10,10
numpy,144001372,6.72,10,,0,10,10,10,10,,5,9,0,9,10
cryptography,160628481,6.69,10,,0,10,10,9,10,,4,10,,9,10
soupsieve,58029034,6.69,10,,0,10,10,10,10,10,7,10,,0,10
cx-oracle,2603605,6.69,10,,0,10,10,9,5,,10,10,,10,10
filelock,55974370,6.66,10,0,0,10,10,9,10,10,7,10,,0,10
redis,25678231,6.59,10,,0,10,10,10,10,10,5,0,,9,8
onnx,2924050,6.59,10,,5,10,0,10,10,,8,10,0,10,10
joblib,27708627,6.56,10,,0,10,10,10,10,,10,0,,10,10
black,15958157,6.56,10,,0,10,10,10,10,10,5,10,0,0,10
phonenumbers,4643899,6.56,10,,0,10,10,10,10,,10,0,,10,10
cassandra-driver,1417801,6.56,10,,0,10,0,10,10,,10,10,,10,10
phonenumberslite,405813,6.56,10,,0,10,10,10,10,,10,0,,10,10
multiprocess,11437793,6.53,10,0,0,10,0,9,10,,10,10,0,10,10
pathos,4359557,6.53,10,0,0,10,0,9,10,,10,10,0,10,10
pandas,108923943,6.50,10,,0,10,10,10,10,,0,9,0,10,10
prometheus-client,18575677,6.50,10,0,0,10,0,10,10,,10,9,,10,10
defusedxml,19284728,6.47,10,0,0,10,10,9,0,10,7,10,8,0,10
ppft,4020967,6.44,10,0,0,10,0,9,9,,10,10,0,10,10
cachetools,70744710,6.38,10,0,0,10,10,10,10,,7,0,,10,10
scikit-learn,37599815,6.38,10,,0,10,10,10,10,10,2,10,0,0,10
paramiko,34403759,6.38,10,,0,10,10,10,10,,7,0,,10,10
gunicorn,25049370,6.38,10,,0,10,10,9,9,,9,0,0,10,10
scapy,2376426,6.38,10,,0,10,10,10,10,,7,0,,10,10
jsii,1815260,6.38,10,,0,10,0,10,10,10,,10,8,0,10
ml-metadata,644378,6.38,10,0,0,10,0,10,10,,7,10,0,10,10
confluent-kafka,8438749,6.34,10,,0,10,10,9,10,,7,0,,10,10
neo4j,839466,6.34,10,,0,10,0,9,10,,7,10,,10,10
neo4j-driver,180185,6.34,10,,0,10,0,9,10,,7,10,,10,10
elasticsearch-curator,146051,6.34,10,0,0,10,0,9,10,,7,10,,10,10
googleapis-common-protos,79925496,6.31,10,,0,10,10,10,4,,5,10,,10,10
python-can,924387,6.31,10,,0,10,0,10,10,,10,0,4,10,10
pytest,53395184,6.28,10,,0,10,0,10,10,10,7,0,,10,9
connexion,5314195,6.28,10,,0,10,10,9,10,10,7,10,,0,6
pysaml2,617141,6.28,10,,0,10,0,10,10,,10,10,,10,7
pycep-parser,428447,6.28,10,,0,10,0,10,7,,10,10,,10,10
pygments,47090410,6.25,10,0,0,10,10,10,10,,5,0,,10,10
absl-py,25065553,6.25,10,,0,10,10,10,10,,5,0,,10,10
google-cloud-aiplatform,4816991,6.25,10,,0,10,0,10,10,,5,10,,10,10
locust,1334789,6.25,10,,0,10,0,10,10,10,5,0,,10,10
google-cloud-ndb,277483,6.25,10,,0,10,0,10,10,,5,10,,10,10
ansible-lint,980061,6.22,10,,5,10,0,10,10,10,7,10,,0,10
z3-solver,256153,6.22,10,0,0,10,0,9,10,10,5,0,0,10,10
importlib-metadata,119204632,6.19,8,0,0,10,10,10,10,,7,0,,10,10
