Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,883450011,9.05,10,8,5,8,10,10,10,10,10,7,10,10,6,10,10
umf,235981,7.70,10,5,0,9,10,10,9,10,,7,10,10,,10,10
tuf,106140,7.68,10,8,10,,10,0,10,10,10,4,10,10,4,10,10
attrs,365337299,7.59,10,,5,3,10,10,10,10,10,10,10,10,,9,10
ops,380781,7.54,10,5,0,10,10,0,10,10,10,2,10,10,,10,10
ops-scenario,136775,7.54,10,5,0,10,10,0,10,10,10,2,10,10,,10,10
xclim,136518,7.54,10,5,5,7,10,0,10,10,10,10,10,10,,10,6
mkl-service,56140,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
mkl-fft,46430,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
tbb,595579,7.51,10,,2,10,10,10,10,10,,8,10,10,0,10,10
sigstore-protobuf-specs,88985,7.51,10,,0,10,10,0,10,10,10,8,8,10,6,9,7
tbb-devel,71169,7.51,10,,2,10,10,10,10,10,,8,10,10,0,10,10
aiobotocore,577917530,7.32,10,,0,10,10,0,10,10,10,8,9,10,,9,10
astropy,2320967,7.30,10,8,0,10,10,0,10,10,,6,7,10,,10,10
in-toto,37955,7.30,10,8,10,10,10,0,9,10,,4,0,10,3,10,10
requests,771220950,7.27,10,,0,10,10,10,10,10,,7,9,10,0,10,9
geoip2,8786341,7.24,10,6,0,10,10,0,10,10,10,6,9,0,,10,10
twine,18729598,7.19,8,,0,10,10,0,10,10,10,1,10,0,10,10,10
pyhanko,3672513,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
pyhanko-certvalidator,2340634,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
gdal,253992,7.19,10,,5,2,10,10,9,10,10,8,9,9,8,10,0
coverage,133953112,7.16,10,,5,0,10,10,10,10,10,5,10,10,,10,10
west,1015108,7.16,10,6,0,9,10,0,10,10,10,6,9,0,0,10,10
