Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,623625562,8.70,10,8,5,10,10,10,10,10,10,5,10,10,8,10,3
tuf,333453,8.49,10,8,10,10,10,0,10,10,10,4,10,10,4,10,10
openexr,228000,8.27,10,,5,8,10,10,10,10,10,9,10,10,4,9,10
flatbuffers,16874373,8.14,8,8,0,7,10,10,10,10,10,0,7,10,8,10,8
charset-normalizer,463912826,7.73,10,8,0,0,10,0,10,10,10,4,10,10,10,10,8
xclim,86485,7.70,10,5,2,6,10,0,10,10,10,10,10,10,,10,10
gdal,243247,7.57,9,,5,1,10,10,9,10,10,3,9,9,8,10,10
requests,526406633,7.46,10,,0,10,10,10,10,10,,8,10,10,0,10,10
matplotlib,69642522,7.41,10,8,0,10,10,10,9,10,10,2,10,10,,0,9
qcodes,127389,7.35,10,,0,10,10,0,10,10,10,6,10,10,,10,10
niquests,91714,7.35,10,,0,2,10,0,10,10,10,4,9,10,10,10,10
flask-debugtoolbar,179884,7.32,10,8,0,10,10,0,10,9,10,6,0,9,10,0,10
pyhanko,1613588,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
click,203405699,7.16,10,3,0,6,10,10,10,10,10,5,0,9,10,0,10
coverage,84772021,7.16,10,,5,0,10,10,10,10,10,5,10,10,,10,10
trufflehog,85177,7.14,9,6,0,10,10,0,10,10,10,0,10,9,8,0,9
twine,12656333,7.11,7,,0,10,10,0,10,10,10,1,10,0,10,10,10
tbb,483895,7.08,10,,2,10,10,10,10,10,,0,10,10,0,10,10
sigstore-protobuf-specs,328844,7.08,10,,0,10,10,0,10,10,10,6,8,10,8,0,10
pillow,111536179,7.05,10,0,2,10,10,10,9,10,10,0,0,10,,10,10
sentencepiece,23341102,7.03,10,0,0,4,10,10,10,10,,7,6,10,4,10,10
typing-extensions,436657303,7.00,10,,0,10,10,10,9,10,10,0,0,10,,10,10
ecs-logging,1557360,7.00,10,5,0,10,10,0,10,10,10,2,0,10,,10,10
jsii,2682113,6.97,10,8,0,10,10,0,10,10,10,0,0,10,8,0,10
idna,465932571,6.92,10,,0,0,10,10,10,10,10,5,8,10,0,10,10
cryptography,276323074,6.89,10,,0,10,10,10,9,10,10,4,0,10,,9,7
yt-dlp,2071169,6.89,10,,0,8,10,0,10,10,10,0,10,0,8,9,10
ibmcloudant,82512,6.81,10,,0,10,10,0,10,10,,6,10,10,,10,10
urllib3-future,95509,6.78,10,,0,0,10,0,10,10,10,3,10,10,10,10,5
jinja2,175841151,6.76,10,3,0,1,10,10,10,10,10,5,0,9,10,0,10
astroid,27343670,6.76,10,8,0,10,10,10,10,10,,0,9,9,,0,10
botocore,571612167,6.73,10,,0,1,10,10,10,10,,8,10,10,,10,10
numpy,299651319,6.73,10,3,0,9,10,10,9,10,,3,9,9,0,9,5
markupsafe,184491788,6.73,10,3,0,0,10,10,10,10,10,6,0,9,10,0,10
newrelic,1983057,6.73,10,5,0,10,10,0,10,10,10,6,6,10,,0,10
cloud-sql-python-connector,1578866,6.73,10,,5,10,10,0,10,10,,6,9,10,,10,8
google-re2,4312856,6.70,10,0,0,10,10,10,10,0,10,0,0,10,6,10,10
pycep-parser,1005612,6.70,10,,0,0,10,0,10,10,10,9,10,10,,10,10
pem,359022,6.70,10,,5,0,10,10,10,10,10,0,8,10,,9,10
clvm-rs,151180,6.70,10,6,0,10,10,10,10,10,10,0,10,0,,0,10
itsdangerous,60870102,6.68,10,3,0,0,10,10,10,10,10,5,0,9,10,0,10
certifi,467827660,6.65,10,3,0,6,10,0,9,10,10,5,0,10,,10,10
auth0-python,808372,6.62,10,6,0,10,10,0,10,9,10,0,10,10,,0,10
