Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,615425351,8.70,10,8,5,10,10,10,10,10,10,5,10,10,8,10,3
tuf,297291,8.49,10,8,10,10,10,0,10,10,10,4,10,10,4,10,10
openexr,157080,8.43,10,,5,8,10,10,10,10,10,9,10,10,6,9,10
flatbuffers,15836912,8.30,10,8,0,7,10,10,10,10,10,0,7,10,8,10,8
charset-normalizer,438067742,7.65,10,8,0,0,10,0,10,10,10,4,10,10,10,10,7
gdal,208868,7.51,9,,5,1,10,10,9,10,10,3,8,9,8,10,10
requests,515350549,7.46,10,,0,10,10,10,10,10,,8,10,10,0,10,10
matplotlib,68406333,7.41,10,8,0,10,10,10,9,10,10,2,10,10,,0,9
flask-debugtoolbar,166578,7.41,10,8,0,10,10,0,10,10,10,6,0,9,10,0,10
qcodes,131423,7.35,10,,0,10,10,0,10,10,10,6,10,10,,10,10
niquests,78030,7.32,10,,0,1,10,0,10,10,10,4,10,10,10,10,10
pyhanko,1371231,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
bigdl-nano,72268,7.19,10,,0,9,10,0,10,10,10,0,7,10,8,10,7
coverage,78557714,7.16,10,,5,0,10,10,10,10,10,5,10,10,,10,10
trufflehog,89442,7.14,9,6,0,10,10,0,10,10,10,0,10,9,8,0,9
twine,12254236,7.11,7,,0,10,10,0,10,10,10,1,10,0,10,10,10
tbb,455266,7.08,10,,2,10,10,10,10,10,,0,10,10,0,10,10
sigstore-protobuf-specs,280386,7.08,10,,0,10,10,0,10,10,10,6,8,10,8,0,10
sentencepiece,19719431,7.03,10,0,0,4,10,10,10,10,,7,6,10,4,10,10
typing-extensions,428778111,7.00,10,,0,10,10,10,9,10,10,0,0,10,,10,10
ecs-logging,1561202,7.00,10,5,0,10,10,0,10,10,10,2,0,10,,10,10
certifi,466726244,6.97,10,3,0,10,10,0,9,10,10,5,0,10,,10,10
jsii,2759523,6.97,10,8,0,10,10,0,10,10,10,0,0,10,8,0,10
newrelic,2035661,6.95,10,5,0,10,10,0,10,10,10,6,10,10,,0,10
idna,458002415,6.92,10,,0,0,10,10,10,10,10,5,8,10,0,10,10
cryptography,271669237,6.89,10,,0,10,10,10,9,10,10,4,0,10,,9,7
pillow,103948549,6.89,10,0,2,8,10,10,9,10,10,0,0,10,,10,10
yt-dlp,1949516,6.89,10,,0,8,10,0,10,10,10,0,10,0,8,9,10
numpy,291116209,6.86,10,3,0,10,10,10,9,10,,3,10,9,0,9,5
pem,320229,6.78,10,,5,0,10,10,10,10,10,0,8,10,,10,10
urllib3-future,84829,6.78,10,,0,0,10,0,10,10,10,3,10,10,10,10,5
click,209802733,6.76,10,3,0,1,10,10,10,10,10,5,0,9,10,0,10
astroid,24548783,6.76,10,8,0,10,10,10,10,10,,0,9,9,,0,10
auth0-python,699910,6.76,10,6,0,10,10,0,10,10,10,1,10,10,,0,10
markupsafe,160400763,6.73,10,3,0,0,10,10,10,10,10,6,0,9,10,0,10
cloud-sql-python-connector,1470922,6.73,10,,5,10,10,0,10,10,,6,9,10,,10,8
google-re2,3960954,6.70,10,0,0,10,10,10,10,0,10,0,0,10,6,10,10
clvm-rs,109123,6.70,10,6,0,10,10,10,10,10,10,0,10,0,,0,10
jinja2,165280229,6.68,10,3,0,0,10,10,10,10,10,5,0,9,10,0,10
botocore,518765013,6.65,10,,0,0,10,10,10,10,,8,10,10,,10,10
red-discordbot,553587,6.62,10,8,0,7,10,0,10,10,10,0,10,10,0,0,10
itsdangerous,56549245,6.59,10,3,0,0,10,10,10,9,10,5,0,9,10,0,10
docker-compose,1752082,6.59,10,8,0,10,10,0,10,10,,0,0,10,0,10,10
pycep-parser,940094,6.59,10,,0,0,10,0,10,10,10,7,10,10,,10,10
async-lru,14078135,6.54,10,,0,10,10,0,10,10,10,0,10,10,4,0,10
pytest,136856360,6.51,10,8,0,10,10,0,10,10,10,0,0,0,0,9,10
onnx,4641708,6.51,10,,5,10,10,0,10,10,10,3,10,10,,0,10
twisted,6494138,6.46,10,,0,10,10,0,9,10,10,0,0,10,,10,10
truststore,1648247,6.46,10,8,2,9,10,0,10,10,10,3,0,10,0,0,10
attrs,217482728,6.43,10,,5,3,10,0,10,10,10,0,7,10,,10,10
flask,68475904,6.43,10,3,0,1,10,10,10,10,10,5,0,9,10,0,6
google-crc32c,56456073,6.41,10,,0,10,10,10,10,10,,0,3,10,,10,7
google-cloud-secret-manager,26152665,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-appengine-logging,20527204,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-resource-manager,18414614,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-kms,12185271,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-dataproc,11897631,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-monitoring,11767614,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-container,11484578,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-vision,11468869,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-dlp,11221633,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-bigquery-datatransfer,11137806,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
google-cloud-tasks,10922740,6.41,10,,0,10,10,10,10,10,,0,0,10,,10,9
