Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,926039357,9.05,10,8,5,8,10,10,10,10,10,7,10,10,6,10,10
umf,294174,7.70,10,5,0,9,10,10,9,10,,7,10,10,,10,10
tuf,125890,7.68,10,8,10,,10,0,10,10,10,4,10,10,4,10,10
attrs,399519486,7.59,10,,5,3,10,10,10,10,10,10,10,10,,9,10
ops,368844,7.54,10,5,0,10,10,0,10,10,10,2,10,10,,10,10
xclim,141952,7.54,10,5,5,7,10,0,10,10,10,10,10,10,,10,6
ops-scenario,103576,7.54,10,5,0,10,10,0,10,10,10,2,10,10,,10,10
mkl-service,50209,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
mkl-fft,44774,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
tbb,580877,7.51,10,,2,10,10,10,10,10,,8,10,10,0,10,10
sigstore-protobuf-specs,92442,7.51,10,,0,10,10,0,10,10,10,8,8,10,6,9,7
tbb-devel,65993,7.51,10,,2,10,10,10,10,10,,8,10,10,0,10,10
aiobotocore,752457502,7.32,10,,0,10,10,0,10,10,10,8,9,10,,9,10
astropy,2894530,7.30,10,8,0,10,10,0,10,10,,6,7,10,,10,10
in-toto,41074,7.30,10,8,10,10,10,0,9,10,,4,0,10,3,10,10
requests,834670127,7.27,10,,0,10,10,10,10,10,,7,9,10,0,10,9
geoip2,10253691,7.24,10,6,0,10,10,0,10,10,10,6,9,0,,10,10
twine,19838645,7.19,8,,0,10,10,0,10,10,10,1,10,0,10,10,10
pyhanko,2954638,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
pyhanko-certvalidator,2055416,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
gdal,261876,7.19,10,,5,2,10,10,9,10,10,8,9,9,8,10,0
coverage,135991975,7.16,10,,5,0,10,10,10,10,10,5,10,10,,10,10
west,990074,7.16,10,6,0,9,10,0,10,10,10,6,9,0,0,10,10
jsonschema,263462131,7.14,10,,0,1,10,10,10,10,10,8,9,10,0,9,10
pylint,34785244,7.11,10,8,5,10,10,0,10,10,10,0,10,9,0,9,3
pydata-sphinx-theme,2095001,7.05,10,4,0,10,10,0,10,10,10,9,10,0,,9,8
openexr,364984,7.03,10,,5,7,10,10,10,10,10,7,10,10,0,0,10
clvm-rs,249847,7.03,10,6,0,10,10,10,10,10,10,0,10,9,,0,8
typing-extensions,807547430,7.00,10,,0,10,10,10,9,10,10,0,0,10,,10,10
cryptography,449687653,6.97,10,,0,10,10,10,9,10,10,4,0,10,,9,8
yt-dlp,3920409,6.97,10,,0,9,10,0,10,10,10,0,10,0,8,9,10
trufflehog,121804,6.97,9,6,0,10,10,0,10,10,10,0,10,9,8,0,7
aiolimiter,2680903,6.95,10,8,0,2,10,0,10,10,10,10,10,0,0,9,10
bullmq,142574,6.95,10,6,0,10,10,0,10,10,10,4,10,0,,7,10
click,377843941,6.92,10,3,0,1,10,10,10,10,10,8,0,9,10,0,10
cachecontrol,78432608,6.92,10,0,0,5,10,0,9,10,10,4,10,0,8,10,10
markupsafe,343078953,6.89,10,3,0,0,10,10,10,10,10,9,0,9,10,0,10
matplotlib,108787843,6.89,10,8,0,10,10,10,9,10,10,6,10,10,,0,0
deebot-client,61279,6.89,10,4,0,5,10,0,10,10,10,9,10,0,0,10,10
pymongo,59490192,6.86,10,5,0,10,10,0,10,10,10,4,10,0,8,0,9
google-re2,6585730,6.86,10,0,0,10,10,10,10,2,10,0,0,10,6,10,10
red-discordbot,777265,6.86,10,8,0,10,10,0,10,10,10,0,10,10,0,0,10
idna,730961280,6.84,10,,0,0,10,10,10,7,10,8,8,10,0,10,10
jinja2,335043268,6.84,10,3,0,0,10,10,10,10,10,8,0,9,10,0,10
mne,345518,6.84,10,,7,8,10,0,10,10,10,0,9,10,,8,10
flexget,56373,6.78,10,3,0,5,10,0,10,10,10,10,10,0,0,10,9
niquests,1506275,6.76,10,,5,3,10,0,10,10,10,4,9,10,10,10,0
newrelic-telemetry-sdk,1269635,6.76,10,5,0,7,10,0,10,8,10,4,4,10,,8,10
cloud-sql-python-connector,2492590,6.73,10,,5,10,10,0,10,10,,6,9,10,,9,9
jsonnet,1233915,6.68,10,3,0,1,10,10,10,10,10,3,1,10,0,9,10
awesomeversion,690303,6.68,10,3,0,6,10,0,10,10,10,5,10,0,,10,10
botocore,893777784,6.65,10,,0,1,10,10,10,10,,8,10,10,,10,9
astroid,35602632,6.65,10,8,0,10,10,10,10,10,10,0,9,9,0,0,2
motor,8436111,6.65,10,8,0,8,10,0,10,10,10,1,9,0,8,0,8
cheroot,1750594,6.65,10,8,2,0,10,0,10,10,10,1,10,10,6,0,10
ecs-logging,2116687,6.59,10,5,0,10,10,0,10,6,10,2,0,10,,9,10
cloudsmith-cli,116067,6.59,10,5,0,10,10,0,10,10,10,0,9,0,0,10,7
oauthlib,197370206,6.57,10,6,0,8,10,10,10,10,10,0,2,10,,9,0
github3-py,2513655,6.54,10,,2,10,10,0,10,10,,6,10,4,,10,10
pycep-parser,2341524,6.54,10,,0,0,10,0,10,8,10,9,10,10,,10,10
django-axes,1057757,6.54,10,0,0,5,10,0,10,10,10,0,10,10,,9,10
pytenable,230902,6.54,10,5,0,10,10,0,10,10,10,0,10,10,,0,9
ansible-lint,6273997,6.51,10,5,5,8,10,0,10,10,10,0,10,10,,0,9
kaggle,1036803,6.51,10,,0,9,10,0,10,10,,5,10,10,,10,8
googleapis-common-protos,243089776,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
grpc-google-iam-v1,68659392,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-secret-manager,63911629,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-batch,45538414,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-analytics-admin,40809736,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-resource-manager,38257498,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-kms,35779008,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-monitoring,35503321,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-vision,35416456,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-tasks,35275772,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dlp,35123713,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-appengine-logging,35038901,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-compute,34661733,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-speech,34280274,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-workflows,33425613,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-language,32562464,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dataform,31974475,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-videointelligence,31635807,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-os-login,31006709,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-redis,30370449,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-memcache,29498066,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dataproc,26690880,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-bigquery-datatransfer,25291607,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-automl,24157485,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-texttospeech,23616726,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-orchestration-airflow,23590553,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dataproc-metastore,23435137,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-run,21161785,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dataflow-client,21036769,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-datacatalog,17478587,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-container,16785486,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-translate,16610624,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-build,16283634,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dataplex,16280503,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-storage-transfer,14514373,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-ai-generativelanguage,11402485,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
ibmcloudant,7436247,6.49,10,,0,6,10,0,10,10,,6,10,10,,10,10
google-cloud-bigquery-biglake,5862672,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud,4562085,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-recommendations-ai,4276581,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-analytics-data,3759965,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-alloydb,3685638,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-managedkafka,3444151,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-trace,3058389,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-iam,2196323,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-recaptcha-enterprise,2190644,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-artifact-registry,1431753,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
