Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,670262655,9.38,10,8,5,10,10,10,10,10,10,7,10,10,8,10,10
tuf,163309,8.49,10,8,10,10,10,0,10,10,10,4,10,10,4,10,10
in-toto,30283,7.84,10,8,10,10,10,0,9,10,10,4,0,10,3,10,10
xclim,113106,7.78,10,5,5,6,10,0,10,10,10,10,10,10,,10,10
openexr,172483,7.49,10,,5,9,10,10,10,10,10,8,10,10,3,0,10
gdal,588218,7.41,10,,5,4,10,10,9,10,10,8,10,9,8,10,0
requests,576250793,7.38,10,,0,10,10,10,10,10,,8,10,10,0,10,9
astropy,2526150,7.30,10,8,0,10,10,0,10,10,,6,7,10,,10,10
mkl-fft,39363,7.24,10,8,0,10,10,0,10,10,,0,0,10,8,10,10
twine,13122989,7.19,8,,0,10,10,0,10,10,10,1,10,0,10,10,10
pyhanko,3440018,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
clvm-rs,195181,7.19,10,6,0,10,10,10,10,10,10,0,10,9,,0,10
coverage,89452152,7.16,10,,5,0,10,10,10,10,10,5,10,10,,10,10
tbb,511089,7.08,10,,2,10,10,10,10,10,,0,10,10,0,10,10
tbb-devel,48946,7.08,10,,2,10,10,10,10,10,,0,10,10,0,10,10
attrs,276988719,7.05,10,,5,3,10,10,10,10,10,0,10,10,,9,10
typing-extensions,479677890,7.00,10,,0,10,10,10,9,10,10,0,0,10,,10,10
click,247497543,7.00,10,3,0,4,10,10,10,10,10,5,0,9,10,0,10
geoip2,5633198,6.97,10,6,0,10,10,0,10,10,10,0,10,0,,10,10
mne,154194,6.97,10,,7,9,10,0,10,10,10,0,10,10,,8,10
sentencepiece,22425587,6.95,10,0,0,4,10,10,10,9,,7,6,10,4,10,10
cryptography,309681352,6.89,10,,0,10,10,10,9,10,10,4,0,10,,9,7
matplotlib,75050012,6.89,10,8,0,10,10,10,9,10,10,6,10,10,,0,0
yt-dlp,2146293,6.89,10,,0,8,10,0,10,10,10,0,10,0,8,9,10
cloud-sql-python-connector,1579689,6.89,10,,5,10,10,0,10,10,,6,9,10,,10,10
trufflehog,98056,6.89,9,6,0,10,10,0,10,10,10,0,10,9,8,0,6
cryptography-vectors,31328,6.89,10,,0,10,10,10,9,10,10,4,0,10,,9,7
umf,147316,6.81,10,5,0,9,10,10,9,10,,7,10,10,,0,9
google-re2,10882599,6.78,10,0,0,10,10,10,10,1,10,0,0,10,6,10,10
sigstore-protobuf-specs,172663,6.78,10,,0,10,10,0,10,10,10,8,8,10,6,0,7
jinja2,249906497,6.76,10,3,0,2,10,10,10,9,10,5,0,9,10,0,10
pydata-sphinx-theme,1674097,6.73,10,4,0,10,10,0,10,10,10,9,4,0,,9,8
pycep-parser,2105407,6.70,10,,0,0,10,0,10,10,10,9,10,10,,10,10
ecs-logging,1425894,6.68,10,5,0,10,10,0,10,7,10,2,0,10,,9,10
pymongo,38366956,6.65,10,5,0,10,10,0,10,10,10,0,10,0,8,0,9
chiavdf,201618,6.65,10,6,0,10,10,0,10,10,10,0,10,9,0,0,10
auth0-python,1842419,6.62,10,6,0,10,10,0,10,10,10,0,10,10,,0,9
red-discordbot,1067748,6.62,10,8,0,7,10,0,10,10,10,0,10,10,0,0,10
