Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,307909818,8.69,10,,5,10,10,10,10,10,8,10,9,10,10
flatbuffers,9003837,8.19,10,,0,10,10,10,10,10,4,10,8,10,10
markupsafe,92846027,7.62,10,,0,10,10,10,10,10,8,9,10,0,10
pyhanko,364902,7.59,10,,0,10,0,10,10,10,6,10,8,9,10
flask,42729470,7.44,10,,0,10,10,10,10,10,8,9,9,0,9
coverage,49508058,7.16,10,,5,10,10,10,10,,7,10,,10,10
attrs,102809596,7.09,10,,5,10,0,10,10,10,6,10,,10,10
requests,286538843,7.06,10,,0,10,10,10,10,,8,10,0,10,10
structlog,6974898,7.06,10,,5,10,0,9,10,10,6,10,,10,10
pycep-parser,401555,7.06,10,,0,10,0,10,10,10,8,10,,10,10
pycparser,93772961,7.00,10,0,0,10,10,9,9,,9,10,,10,10
pyparsing,66800939,7.00,10,,0,10,10,10,10,,7,10,0,10,10
werkzeug,53708526,7.00,10,,0,10,0,10,10,10,8,9,10,0,10
pillow,51801442,6.97,10,0,2,10,10,9,10,,6,10,,10,10
charset-normalizer,245046156,6.94,10,,0,10,10,10,10,,6,10,0,10,10
twisted,2532379,6.91,10,,0,10,0,9,10,10,6,10,,10,10
django-axes,210459,6.84,10,0,0,10,0,10,10,10,6,10,,9,10
jinja2,90772622,6.81,10,,0,10,10,10,10,,8,9,8,0,10
numpy,137720368,6.66,10,,0,10,10,10,10,,4,9,0,9,10
bidict,1205486,6.66,10,,5,10,0,10,6,10,6,9,,10,10
cryptography,161572525,6.62,10,,0,10,10,9,10,,3,10,,9,10
soupsieve,55657788,6.62,10,,0,10,10,10,10,10,6,10,,0,10
onnx,2857870,6.59,10,,5,10,0,10,10,,8,10,0,10,10
redis,25449531,6.53,10,,0,10,10,10,10,10,4,0,,9,8
pandas,106332931,6.50,10,,0,10,10,10,10,,0,9,0,10,10
black,15522015,6.50,10,,0,10,10,10,10,10,4,10,0,0,10
phonenumbers,3884138,6.44,10,,0,10,10,10,10,,8,0,,10,10
phonenumberslite,467992,6.44,10,,0,10,10,10,10,,8,0,,10,10
defusedxml,18429414,6.41,10,0,0,10,10,9,0,10,6,10,8,0,10
scikit-learn,34440093,6.38,10,,0,10,10,10,10,10,2,10,0,0,10
jsii,1292155,6.38,10,,0,10,0,10,10,10,,10,8,0,10
hiredis,2976099,6.34,10,0,0,10,10,9,5,10,6,0,,9,10
immutabledict,614058,6.34,10,,0,10,0,10,10,10,8,0,,9,10
cachetools,69136861,6.31,10,0,0,10,10,10,10,,6,0,,10,10
seaborn,8410834,6.31,10,0,0,10,0,10,10,,6,10,0,10,10
scapy,2829839,6.31,10,,0,10,10,10,10,,6,0,,10,10
functions-framework,2105474,6.31,10,,0,10,0,10,10,10,6,0,,10,10
z3-solver,240861,6.28,10,0,0,10,0,9,10,10,6,0,0,10,10
pytest,52187458,6.22,10,,0,10,0,10,10,10,6,0,,10,9
pyhanko-certvalidator,541051,6.22,10,,0,10,0,10,10,10,6,0,0,9,10
pygments,46562878,6.19,10,0,0,10,10,10,10,,4,0,,10,10
httpx,15189805,6.19,10,,0,10,10,10,10,,9,10,,0,10
locust,1166393,6.19,10,,0,10,0,10,10,10,4,0,,10,10
ansible-lint,843459,6.16,10,,5,10,0,10,10,10,6,10,,0,10
botocore,280348860,6.12,10,,0,10,10,10,10,,8,10,,0,10
importlib-metadata,119552957,6.12,8,0,0,10,10,10,10,,6,0,,10,10
connexion,4390608,6.12,10,,0,10,10,9,10,10,6,10,,0,5
mutagen,1575442,6.12,10,0,0,10,10,10,10,,6,0,8,0,10
codespell,339045,6.12,10,,0,10,0,10,10,10,6,0,8,0,10
certifi,229160572,6.09,10,0,0,10,0,9,8,,6,10,,10,10
pytest-django,1695430,6.09,10,,0,10,0,9,8,10,6,0,,10,10
click,97929083,6.06,10,,0,10,10,10,10,,8,9,,0,10
google-api-python-client,42428450,6.06,10,,0,10,10,10,10,,7,10,,0,10
itsdangerous,37077503,6.06,10,,0,10,10,10,10,,8,9,,0,10
presidio-analyzer,79421,6.06,10,,0,10,0,10,10,,5,10,,10,8
websockets,19178925,6.03,10,0,5,10,0,10,10,10,4,10,,0,10
tables,633455,6.03,10,0,0,10,0,10,10,,6,10,0,10,7
tensorstore,335447,6.03,10,0,0,10,0,9,10,10,7,10,,0,10
python-dateutil,209811711,6.00,10,,0,10,10,9,9,,6,0,8,0,10
pyyaml,171082494,6.00,10,,0,10,10,10,10,,6,10,,0,10
wheel,157396605,6.00,10,0,0,10,10,10,10,10,6,0,,0,10
pyjwt,100506402,6.00,10,,0,10,10,10,10,10,6,0,,0,10
sqlalchemy,66043646,6.00,10,,0,10,10,10,10,,6,10,0,0,10
jsonschema,64762104,6.00,10,,0,10,0,10,10,10,6,10,,0,10
platformdirs,59256110,6.00,10,0,0,10,0,10,10,10,6,10,,0,10
yarl,54803470,6.00,10,,0,10,10,10,10,,6,10,0,0,10
pymysql,29660669,6.00,10,,0,10,10,10,10,,6,10,,0,10
argcomplete,20292345,6.00,10,0,0,10,10,10,10,,6,10,0,0,10
markdown-it-py,16177454,6.00,10,,0,10,10,10,10,,6,10,,0,10
httpcore,14900769,6.00,10,,0,10,10,10,8,,9,10,,0,10
rapidfuzz,12193011,6.00,10,,0,10,0,10,10,10,6,10,,0,10
sentencepiece,9777958,6.00,10,0,0,10,10,10,10,,6,10,0,0,10
django-debug-toolbar,1488093,6.00,10,0,0,10,0,10,10,10,6,10,0,0,10
tablib,1400340,6.00,10,,0,10,0,10,10,10,6,10,,0,10
django-simple-history,791084,6.00,10,,0,10,0,10,10,10,6,10,,0,10
django-treebeard,258859,6.00,10,0,0,10,0,10,10,10,6,10,,0,10
scylla-driver,188528,6.00,10,,0,10,0,10,10,10,6,10,,0,10
msgraph-core,186300,6.00,10,,0,10,0,10,10,10,6,10,,0,10
spotipy,177845,6.00,10,,0,10,0,10,10,10,6,10,,0,10
seqio,161845,6.00,10,,0,10,0,10,10,10,6,10,,0,10
yamlfix,143799,6.00,10,,0,10,0,10,10,10,6,10,,0,10
