Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,378371521,8.78,10,,5,9,10,10,10,10,10,8,10,10,9,10,10
tuf,39479,8.05,10,,10,10,10,0,10,10,10,8,10,10,4,10,10
charset-normalizer,267271069,7.62,10,,0,3,10,10,10,10,10,8,9,10,3,10,10
requests,323394974,7.51,10,,0,10,10,10,10,10,,10,9,10,0,10,10
flatbuffers,13083475,7.38,8,,0,5,10,10,10,7,10,4,7,10,9,10,8
pybind11,6403591,7.22,10,,0,8,10,10,9,10,10,7,0,10,,10,10
pybind11-global,56526,7.22,10,,0,8,10,10,9,10,10,7,0,10,,10,10
pyhanko,612508,7.16,10,,0,0,10,0,10,10,10,7,10,10,8,9,10
codespell,491821,6.97,10,,0,10,10,0,10,10,10,7,0,0,8,10,10
numpy,167977814,6.92,10,,0,10,10,10,10,10,,,9,9,0,10,10
twisted,3063939,6.84,10,,0,10,10,0,9,10,10,7,0,10,,10,10
service-identity,2595087,6.78,10,,5,0,10,0,10,10,10,8,10,10,,10,10
scapy,2224714,6.78,10,,0,9,10,10,10,10,,7,10,0,,10,10
attrs,110562234,6.76,10,,5,1,10,0,10,10,10,8,8,10,,10,10
aiohttp,75129658,6.76,10,,0,6,10,10,9,10,10,5,10,10,1,0,10
django-axes,215310,6.76,10,0,0,3,10,0,10,10,10,7,10,10,,9,10
coverage,56504080,6.73,10,,5,0,10,10,10,10,,7,10,10,,10,10
structlog,6746800,6.73,10,,5,1,10,0,9,10,10,7,9,10,,10,10
presidio-analyzer,150277,6.73,10,,0,9,10,0,10,10,,6,10,10,,10,10
presidio-anonymizer,71748,6.73,10,,0,9,10,0,10,10,,6,10,10,,10,10
pyarrow,72995282,6.70,10,,0,6,10,10,10,10,10,,0,10,,10,10
click,127553263,6.68,10,,0,1,10,10,10,10,10,8,0,9,10,0,10
flask,84928986,6.68,10,,0,2,10,10,10,10,10,8,0,9,9,0,10
cryptography,186136558,6.65,10,,0,10,10,10,9,10,,5,0,10,,9,10
argon2-cffi,10390176,6.62,10,,5,0,10,0,10,10,10,8,7,10,,10,10
markupsafe,115709070,6.59,10,,0,0,10,10,10,10,10,8,0,9,10,0,10
msgraph-core,286869,6.59,10,,0,10,10,0,10,10,10,7,10,10,,0,10
pillow,59456966,6.57,10,0,2,6,10,10,9,10,,7,0,10,,10,10
functions-framework,1928570,6.57,10,,0,10,10,0,10,7,10,7,9,0,,10,10
botocore,330557585,6.51,10,,0,0,10,10,10,10,,7,10,10,,9,10
pem,277412,6.51,10,,5,0,10,10,10,10,10,8,10,10,,0,10
ml-wrappers,186698,6.51,10,,0,9,10,0,10,10,10,7,10,10,,0,10
yarl,60714090,6.49,10,,0,2,10,10,10,10,10,7,10,10,0,0,10
black,20477784,6.49,10,,0,10,10,10,10,10,10,5,0,10,0,0,10
ansible-lint,1101941,6.49,10,,5,8,10,0,10,10,10,7,10,10,,0,9
in-toto,45456,6.46,10,,10,10,10,0,9,10,,8,0,10,8,0,10
google-cloud-secret-manager,12987284,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-appengine-logging,6825740,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-resource-manager,6118358,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud,3975579,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-datacatalog,2502108,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-language,1953418,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-redis,1743579,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-workflows,1682500,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-recommendations-ai,1489417,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-dataplex,1465787,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-dataproc-metastore,1291165,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-orchestration-airflow,1287876,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-memcache,1262584,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-dataform,896548,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-iam,279076,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-recaptcha-enterprise,207056,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-certificate-manager,204340,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-artifact-registry,204181,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
google-cloud-private-ca,176563,6.41,10,,0,10,10,0,10,10,,2,8,10,,10,9
