Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,688411984,9.30,10,8,5,9,10,10,10,10,10,7,10,10,8,10,10
tuf,69430,8.49,10,8,10,10,10,0,10,10,10,4,10,10,4,10,10
in-toto,34199,7.84,10,8,10,10,10,0,9,10,10,4,0,10,3,10,10
umf,133033,7.78,10,5,0,10,10,10,9,10,,7,10,10,,10,10
attrs,255547495,7.68,10,,5,4,10,10,10,10,10,10,10,10,,9,10
xclim,98618,7.62,10,5,5,5,10,0,10,10,10,10,10,10,,10,9
mkl-fft,34322,7.54,10,5,0,10,10,0,10,10,,10,0,10,8,10,10
sigstore-protobuf-specs,63778,7.51,10,,0,10,10,0,10,10,10,8,8,10,6,9,7
mkl-service,41281,7.46,10,5,0,9,10,0,10,10,,10,0,10,8,10,10
coverage,94100352,7.30,10,,5,1,10,10,10,10,10,6,10,10,,10,10
astropy,1755403,7.30,10,8,0,10,10,0,10,10,,6,7,10,,10,10
click,221435683,7.24,10,3,0,5,10,10,10,10,10,8,0,9,10,0,10
geoip2,5258233,7.24,10,6,0,10,10,0,10,10,10,5,10,0,,10,10
gdal,180105,7.24,10,,5,2,10,10,9,10,10,8,10,9,8,10,0
requests,614363827,7.22,10,,0,10,10,10,10,8,,8,10,10,0,10,9
twine,16924270,7.19,8,,0,10,10,0,10,10,10,1,10,0,10,10,10
pyhanko,2467070,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
pyhanko-certvalidator,1367706,7.19,10,3,0,0,10,0,10,10,10,0,10,10,10,9,10
west,1250957,7.16,10,6,0,9,10,0,10,10,10,6,9,0,0,10,10
cryptography,284573759,7.14,10,,0,10,10,10,9,10,10,4,0,10,,9,10
pylint,22703242,7.14,10,8,5,10,10,0,10,10,10,0,9,9,0,9,4
cryptography-vectors,31434,7.14,10,,0,10,10,10,9,10,10,4,0,10,,9,10
openexr,516402,7.11,10,,5,7,10,10,10,10,10,7,10,10,1,0,10
aiobotocore,547471872,7.08,10,,0,9,10,0,10,10,10,8,6,10,,9,10
tbb,446343,7.08,10,,2,10,10,10,10,10,,0,10,10,0,10,10
tbb-devel,50055,7.08,10,,2,10,10,10,10,10,,0,10,10,0,10,10
trufflehog,86705,7.05,9,6,0,10,10,0,10,10,10,0,10,9,8,0,8
clvm-rs,200703,7.03,10,6,0,10,10,10,10,10,10,0,10,9,,0,8
typing-extensions,480139081,7.00,10,,0,10,10,10,9,10,10,0,0,10,,10,10
pydata-sphinx-theme,1442323,7.00,10,4,0,10,10,0,10,10,10,9,9,0,,9,8
ops,189290,6.95,10,,0,10,10,0,10,10,10,1,9,10,,10,9
ops-scenario,102985,6.95,10,,0,10,10,0,10,10,10,1,9,10,,10,9
jinja2,242938847,6.92,10,3,0,1,10,10,10,10,10,8,0,9,10,0,10
cachecontrol,50568255,6.92,10,0,0,5,10,0,9,10,10,4,10,0,8,10,10
markupsafe,229172643,6.89,10,3,0,0,10,10,10,10,10,9,0,9,10,0,10
matplotlib,69027756,6.89,10,8,0,10,10,10,9,10,10,6,10,10,,0,0
red-discordbot,770957,6.86,10,8,0,10,10,0,10,10,10,0,10,10,0,0,10
idna,566065291,6.84,10,,0,0,10,10,10,7,10,8,8,10,0,10,10
mne,134863,6.84,10,,7,8,10,0,10,10,10,0,9,10,,8,10
cloud-sql-python-connector,1449351,6.81,10,,5,10,10,0,10,10,,6,9,10,,9,10
google-re2,4874342,6.78,10,0,0,10,10,10,10,1,10,0,0,10,6,10,10
botocore,595958398,6.73,10,,0,1,10,10,10,10,,8,10,10,,10,10
pymongo,38275564,6.73,10,5,0,9,10,0,10,10,10,3,10,0,8,0,9
pycep-parser,2008499,6.70,10,,0,0,10,0,10,10,10,9,10,10,,10,10
jsonnet,482949,6.68,10,3,0,1,10,10,10,10,10,3,1,10,0,9,10
niquests,193740,6.68,10,,5,2,10,0,10,10,10,4,9,10,10,10,0
astroid,24531431,6.65,10,8,0,10,10,10,10,10,10,0,9,9,0,0,2
pytenable,163825,6.62,10,5,0,10,10,0,10,10,10,0,10,10,,0,10
flexget,85965,6.62,10,3,0,3,10,0,10,10,10,10,10,0,0,10,9
itsdangerous,76273076,6.59,10,3,0,0,10,10,10,7,10,8,0,9,10,0,10
cheroot,2428430,6.59,10,8,2,0,10,0,10,10,10,0,10,10,6,0,10
flask-debugtoolbar,613644,6.59,10,8,0,10,10,0,10,0,10,6,0,9,10,0,10
jsonschema,151153691,6.57,10,,0,0,10,10,10,10,10,8,0,10,0,9,10
motor,3383912,6.57,10,8,0,8,10,0,10,9,10,1,9,0,8,0,8
yt-dlp,3353143,6.57,10,,0,4,10,0,10,10,10,0,10,0,8,9,10
docker-compose,1256211,6.57,10,8,0,10,10,0,10,10,,0,1,10,0,9,10
newrelic,2093300,6.54,10,5,0,10,10,0,10,10,10,6,10,10,,0,5
newrelic-telemetry-sdk,382992,6.54,10,5,0,7,10,0,10,6,10,4,3,10,,8,10
ecs-logging,1220592,6.51,10,5,0,10,10,0,10,5,10,2,0,10,,9,10
certifi,593829462,6.49,10,3,0,4,10,0,9,10,10,5,0,10,,10,10
googleapis-common-protos,190560035,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-crc32c,73941481,6.49,10,,0,10,10,10,10,10,,0,6,10,,10,6
grpc-google-iam-v1,53831373,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-secret-manager,31484743,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-resource-manager,29038569,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-appengine-logging,23875536,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dataproc,20522080,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-vision,17581557,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-dlp,16289309,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-monitoring,15285661,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-kms,14764314,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-tasks,14199656,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-datacatalog,13668578,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
google-cloud-bigquery-datatransfer,13428598,6.49,10,,0,10,10,10,10,10,,0,0,10,,10,10
