Package,Downloads,Overall,Binary-Artifacts,Branch-Protection,CII-Best-Practices,Code-Review,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities
urllib3,300695650,9.57,10,8,5,9,10,10,10,10,10,10,10,10,10,9,10,10
flatbuffers,9167826,8.60,8,8,0,8,10,10,10,10,10,10,5,10,10,4,10,10
apache-airflow,11888978,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-common-sql,6236652,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-http,2885890,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-amazon,2731300,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mysql,2508621,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-snowflake,2454668,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-slack,1916639,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cncf-kubernetes,1915574,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-databricks,1687573,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-google,1594547,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sqlite,1593283,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-imap,1586288,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ssh,1538551,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-ftp,1465451,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-postgres,1012401,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-amazon,770210,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-mssql,705765,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sftp,543667,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-spark,529963,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-datadog,425895,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-dbt-cloud,369064,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-pagerduty,360344,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-tableau,330471,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hive,311035,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-http,298032,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jdbc,279140,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-mongo,277961,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-odbc,245452,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-airbyte,235553,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-celery,234609,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-redis,230493,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-apache-livy,222424,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-docker,218988,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-apache-spark,216037,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-docker,215558,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-vertica,173570,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-papermill,167315,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-livy,151174,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-cncf-kubernetes,142074,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-snowflake,138205,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-microsoft-azure,134711,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-salesforce,132019,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-druid,130280,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-presto,127376,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-neo4j,125398,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-oracle,124600,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-sendgrid,104553,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-beam,102424,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-jenkins,94351,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-cloudant,91885,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-asana,76617,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-slack,76062,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-apache-hdfs,75755,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-providers-trino,75501,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
apache-airflow-backport-providers-ssh,74915,8.15,10,6,0,10,10,10,10,10,10,,7,0,10,8,10,10
pytest,51225780,7.70,10,8,0,10,10,10,10,10,10,10,7,0,0,,10,10
google-cloud-storage,53272115,7.60,10,8,0,10,10,10,10,10,10,,5,0,10,,10,10
coverage,54646984,7.38,10,3,5,1,10,10,10,10,10,,9,10,10,,10,10
django-axes,231030,7.33,10,0,0,8,10,10,0,10,10,10,7,9,10,,9,10
numpy,138784455,7.28,10,3,0,8,10,10,10,10,10,10,0,0,9,0,10,10
attrs,110176940,7.22,10,8,5,2,10,10,0,10,10,,7,10,10,,10,10
google-auth-httplib2,21351199,7.22,10,8,0,10,10,10,10,10,5,,5,0,10,,10,10
jsii,1788447,7.20,10,8,0,10,10,10,0,10,10,10,,0,10,8,0,10
edk2-pytool-extensions,92519,7.17,10,8,0,10,10,10,0,10,10,,9,9,0,,9,10
googleapis-common-protos,78713832,7.10,10,8,0,10,10,10,,10,10,,5,0,10,,10,10
pyarrow,62660776,7.10,10,3,0,5,10,10,10,10,10,10,,0,10,,10,10
sqlalchemy-bigquery,1103902,7.10,10,8,0,10,10,10,0,10,10,,5,0,10,0,10,10
pybigquery,208059,7.10,10,8,0,10,10,10,0,10,10,,5,0,10,0,10,10
edk2-pytool-library,86710,7.10,10,8,0,9,10,10,0,10,10,,9,9,0,,9,10
google-cloud-bigquery,43702099,7.08,10,1,0,10,10,10,10,10,10,,5,0,10,,10,10
google-cloud-logging,7493975,7.08,10,1,0,10,10,10,10,10,10,,5,0,10,,10,10
cryptography,152853487,7.05,10,8,0,10,10,10,,10,10,,4,0,10,,10,10
google-api-python-client,42661480,7.05,10,8,0,10,10,10,10,10,10,,9,0,10,,0,10
matplotlib,30584839,7.05,10,6,0,10,10,10,10,10,10,,2,10,10,,0,10
google-crc32c,23811697,7.05,10,8,0,9,10,10,10,10,9,10,2,0,10,,0,10
codespell,338339,7.05,10,8,0,10,10,10,0,10,10,10,7,0,0,8,0,10
trufflehog,90828,7.03,10,6,0,9,10,10,0,10,10,10,5,9,9,0,0,10
google-auth,83709718,7.00,10,0,0,10,10,10,10,10,10,,5,0,10,,10,10
ansible-lint,1012684,6.97,10,8,2,3,10,10,0,10,10,10,7,10,10,,0,10
brotli,5668812,6.95,10,3,0,6,10,10,10,10,7,,10,0,10,0,10,10
google-cloud-aiplatform,3736330,6.95,10,8,0,8,10,10,0,10,10,,5,0,10,,10,10
zarr,153233,6.95,10,8,0,10,10,10,,10,10,10,7,10,0,,0,10
pillow,49134588,6.92,10,0,2,7,10,10,10,10,10,,7,0,10,,10,10
marshmallow,18798231,6.90,10,3,0,9,10,10,0,10,10,,10,0,10,,10,10
amundsen-common,280535,6.90,10,8,2,10,10,10,0,10,10,10,5,0,10,,0,10
amundsen-databuilder,162145,6.90,10,8,2,10,10,10,0,10,10,10,5,0,10,,0,10
tink,444614,6.88,9,0,0,10,10,10,10,10,10,,9,10,10,0,0,10
google-cloud,4090575,6.85,10,8,0,10,10,10,0,10,10,,0,0,10,,10,10
docker-compose,1609853,6.85,10,8,0,10,10,10,0,10,10,10,,0,0,0,10,10
dash,1122324,6.85,10,8,0,10,10,10,0,10,10,,10,0,0,,10,10
google-auth-oauthlib,37760465,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-secret-manager,14467986,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-resource-manager,3780091,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
google-cloud-tasks,2584792,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
datadog-api-client,2310438,6.80,10,8,0,10,10,10,0,10,10,10,7,7,0,,0,10
django-simple-history,657497,6.80,10,6,0,10,10,10,0,10,10,10,7,,10,,0,10
pycep-parser,405093,6.80,10,3,0,1,10,10,0,10,10,,10,10,10,,10,10
google-cloud-error-reporting,349365,6.80,10,8,0,10,10,10,10,10,10,,4,0,10,,0,10
aiomysql,146962,6.80,10,3,0,7,10,10,0,10,10,10,7,9,10,0,0,10
structlog,6209852,6.78,10,3,5,1,10,10,0,10,10,,7,10,10,,10,10
redis,24662458,6.75,10,1,0,10,10,,10,10,10,10,5,10,0,,9,10
aws-sam-translator,5795196,6.75,10,4,0,10,10,10,0,10,10,,9,10,10,,0,10
grpc-google-iam-v1,14590150,6.72,10,8,0,7,10,10,0,10,8,,5,0,10,,10,10
google-cloud-audit-log,2686242,6.72,10,8,0,10,10,10,0,10,5,,5,0,10,,10,10
scapy,2673947,6.72,10,8,0,7,10,0,10,10,10,,7,10,0,,10,10
google-cloud-firestore,5093101,6.70,10,8,0,10,10,10,10,10,10,,2,0,10,,0,10
ml-wrappers,127027,6.70,10,8,0,10,10,0,0,10,10,10,7,10,10,,0,10
proxy-py,105006,6.70,10,4,0,6,10,10,0,10,10,10,5,9,10,0,0,10
flask,45138411,6.67,10,3,0,6,10,10,10,10,10,,7,0,9,6,0,10
pylint,12208505,6.67,10,7,5,9,10,10,0,10,10,,5,8,9,,0,10
google-resumable-media,37095059,6.65,10,8,0,10,10,10,10,10,8,,4,0,10,,0,10
kedro,471649,6.65,10,9,5,10,10,10,0,10,10,,2,0,0,,10,10
google-cloud-iam,325955,6.65,10,8,0,10,10,10,10,10,8,,4,0,10,,0,10
azure-core,52964091,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-storage-blob,36712215,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-common,33338392,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-identity,22419677,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-nspkg,10772846,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-resource,10046814,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-core,9217885,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-keyvault-secrets,8692505,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-storage-file-datalake,7402519,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-storage,7307644,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-keyvault,6882230,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-keyvault,6564011,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-cosmos,6557760,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-authorization,6408733,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-storage-queue,6348162,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-containerregistry,6336410,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-keyvault-keys,6132010,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-graphrbac,6054824,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-eventhub,5393831,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-nspkg,4628409,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-datalake-nspkg,4351276,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-compute,4300602,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-data-tables,4234124,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-network,4101633,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-servicebus,3955423,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-datalake-store,3871927,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-datalake-analytics,3798778,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-cosmosdb,3695799,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-recoveryservices,3542343,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-sql,3538161,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-datafactory,3529453,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-keyvault-certificates,3522158,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-msi,3513715,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-batch,3495698,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-monitor,3489843,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-signalr,3447997,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-containerservice,3440516,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-web,3411633,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-batch,3390078,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-rdbms,3389512,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-eventhub,3381062,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-containerinstance,3377906,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-redis,3360304,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-dns,3355905,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-loganalytics,3349272,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-loganalytics,3347488,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-cdn,3339135,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-trafficmanager,3338750,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-iothub,3335285,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-servicebus,3317789,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-recoveryservicesbackup,3294565,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-cognitiveservices,3288142,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-devtestlabs,3287976,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-marketplaceordering,3280272,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-search,3261290,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-eventgrid,3235602,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-media,3216315,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-applicationinsights,3213925,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-iothubprovisioningservices,3205360,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-managementgroups,3204780,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-billing,3199950,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
azure-mgmt-servicefabric,3195899,6.62,8,8,0,10,10,10,,10,10,,0,0,10,,9,10
